;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CA_REQD;CA_ASSET;CP;CP_REQD;CP_ASSET;ER;ER_REQD;ER_ASSET;EI;EI_REQD;EI_ASSET;TS;TS_REQD;TS_ASSET;competencies;competency_group;Bending/Crouching:;Climbing:;Driving:;Keyboarding:;Kneeling/Crawling:;On-call:;Operating equipment:;Sedentary/Sitting:;Shift work:;Travel:;Walking:;Manual tools:;Office equipment:;Pneumatic tools:;Power tools:;Shop tools:;Tool belt worn:;Vibration tools:;Welding:; Extreme heat/cold:;Chemicals:;Confined spaces:;Heights:;Moving equipment:;Night time:;Noise:;Outdoors:;Rotating equipment:;Toxic gases:;Uneven surfaces:;Wet or damp:;Light 11-20 pounds:;Medium 21-50 pounds:;Sedentary 0-10 pounds:;Carrying:;Lifting:;Pushing/pulling:;Standing:
0; 7-Sep-12;Corporate Communications & Investor Relations;Calgary, AB;Administrative Assistant;Vice President, Corporate Communications & Investor Relations;No;;;Liaise with news wire services on all news, quarterly and advisory releases$$$%%%&&&Monthly budget reconciliations$$$%%%&&&CEO Forums - Calgary and site coordinator$$$%%%&&&Event coordinator – AGM, Spruce Meadows (invitations, menus, flowers, gifts, site setup)$$$%%%&&&Accounts payable$$$%%%&&&Organize and prepare binders and materials for presentations$$$%%%&&&Time Administration$$$%%%&&&Preparing and distributing daily media clippings.$$$%%%&&&Distribution/mail out  of investor relations packages (annual/quarterly reports)$$$%%%&&&Back-up support to the Community Investment Administrator;;;;;;;Word$$$%%%&&&Excel$$$%%%&&&Spreadsheets;Word$$$%%%&&&Excel$$$%%%&&&Spreadsheets;;;;;Multi-task$$$%%%&&&Organized, able to plan and meet deadlines$$$%%%&&&Team player$$$%%%&&&Self motivated and directed;Multi-task$$$%%%&&&Organized, able to plan and meet deadlines$$$%%%&&&Team player$$$%%%&&&Self motivated and directed;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; 13-Sep-12;Corporate Communications & Investor Relations;Calgary, AB;Vice President, Corporate Communications & Investor Relations;;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2; 7-Sep-12;Investor Relations;Calgary, AB;Investor Relations Analyst;Manager, Investor Relations;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3; 7-Sep-12;Investor Relations;Calgary, AB;Manager, Investor Relations;Vice President, Corporate Communications & Investor Relations;No;;The role of Manager, Investor Relations is responsible for building and maintaining Husky's trust and confidence within the investment community (including investors, investment banks/institutions and industry forums) by managing and communicating relevant information on the Company's performance and future plans in a way that ensures the value of the Company and its growth potential is appropriately reflected and recognized by capital markets and external stakeholders. The successful candidate must be conversant with all aspects of the Company's operations and results so as to be able to adequately respond to investor and analyst queries. He/she will work closely with Senior Management in the consistent and reliable delivery of information external stakeholders so as to appropriately reflect the performance and strategic capabilities of the Company.;"Develop and implement the Company's investor relations strategy$$$%%%&&&Act as a highly credible and senior point of contact for the investment community, including investors, analysts, rating agencies, etc.$$$%%%&&&Maintain day-to-day contact with analysts and institutional investors, responding to their enquiries, monitoring and influencing their reports and forecasts$$$%%%&&&Direct with the planning and organization of investor conferences, road shows as well as annual shareholder meetings$$$%%%&&&Organize and participate in investor community meetings$$$%%%&&&Liaise with the investment community and communicate internally investor feedback/views on the Company's operating results and business strategies$$$%%%&&&Field investor questions and information inquiries; coordinate senior management teleconferences as needed$$$%%%&&&Coordinate the preparation and production of the Company's Annual and Quarterly Reports, press releases and investor presentations$$$%%%&&&Liaise with investment analysts with regard to their business model information$$$%%%&&&Develop and maintain relationships and regular contact with business units and key corporate functions including finance, tax and treasury$$$%%%&&&Obtain market feedback on business strategy, keep abreast of industry developments, conducting research and completing a variety of special projects as assigned";"Bachelor degree in Commerce or comparable degree in financing or accounting; or professional accounting or financial designation (CA, CMA, CGA, CFA)";"Bachelor degree in Commerce or comparable degree in financing or accounting; or professional accounting or financial designation (CA, CMA, CGA, CFA)";;;;;Successful track record of establishing credibility and trust with various levels of management, key partners and collaborators both inside and outside the organization;Successful track record of establishing credibility and trust with various levels of management, key partners and collaborators both inside and outside the organization;;;;;Excellent communication and presentation skills$$$%%%&&&Strong modeling, analytical and numerical capabilities and knowledge of stock valuation methodologies$$$%%%&&&Ability to work very closely with senior management$$$%%%&&&Excellent computer skills and proficiency in Microsoft Office products$$$%%%&&&Experience using SAP$$$%%%&&&Excellent judgment, organizational and planning skills;Excellent communication and presentation skills$$$%%%&&&Strong modeling, analytical and numerical capabilities and knowledge of stock valuation methodologies$$$%%%&&&Ability to work very closely with senior management$$$%%%&&&Excellent computer skills and proficiency in Microsoft Office products$$$%%%&&&Excellent judgment, organizational and planning skills;Experience using SAP;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4; 7-Sep-12;Media & Issues;Calgary, AB;Coordinator, Media Relations;Media & Issues Manager;No;;The Media Relations Lead reports to the Media and Issues Manager. The candidate will play a key role in proactively managing external communications, including developing and implementing communications strategies, managing media relations, and planning and coordinating media events. Work scope also includes participating in an emergency on call rotation, providing media training and counsel to senior executives and other internal clients, and contributing towards the development and implementation of a social media policy.;"Provide communications, media relations support, counsel and other services to senior executives and all client departments.$$$%%%&&&Responsible for leading external communications initiatives including media events, media relations, review and approval of external documents such as speeches and presentations, and support for public consultations.$$$%%%&&&Serve as corporate spokesperson, providing media with approved messaging and facilitating media interviews.$$$%%%&&&Member of the Corporate Emergency Response Team - required to take part in a rotating ""on call"" schedule to respond to emergency incidents.$$$%%%&&&Develop and support management of media releases, backgrounders, and key messages in concert with corporate disclosure rules.$$$%%%&&&Support development of issues management strategies and maintenance of issues management files.$$$%%%&&&Provide media relations support services, including daily media scans, analysis of coverage, monitoring trends in media relations and maintaining media contacts database.$$$%%%&&&Develop and implement media training initiatives for senior executives and other internal clients.$$$%%%&&&Understand corporate communications review and approval process and disclosure requirements and ensure they are observed.";A degree in communications or journalism is preferred.;;A degree in communications or journalism is preferred.;;;;Minimum 10+ years of senior communications and/or journalism experience$$$%%%&&&Proven track record in communications roles, preferably corporate communications.$$$%%%&&&Experience in serving in an advisory role to senior management.;Minimum 10+ years of senior communications and/or journalism experience$$$%%%&&&Proven track record in communications roles, preferably corporate communications.$$$%%%&&&Experience in serving in an advisory role to senior management.;;Knowledge of the oil and gas industry;;Knowledge of the oil and gas industry;Ability to serve as a corporate media spokesperson for a large, complex organization$$$%%%&&&Superior writing, editing and oral communication skills.$$$%%%&&&Creative, analytical and results-oriented, with the ability to draw themes and conclusions from data analysis and communicate results to senior management.$$$%%%&&&Ability to build relationships across the organization and to work independently.$$$%%%&&&Confidence in being able to serve as a primary member of corporate emergency response team.$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules and deadlines, often under tight timelines and shifting priorities;Ability to serve as a corporate media spokesperson for a large, complex organization$$$%%%&&&Superior writing, editing and oral communication skills.$$$%%%&&&Creative, analytical and results-oriented, with the ability to draw themes and conclusions from data analysis and communicate results to senior management.$$$%%%&&&Ability to build relationships across the organization and to work independently.$$$%%%&&&Confidence in being able to serve as a primary member of corporate emergency response team.$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules and deadlines, often under tight timelines and shifting priorities;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; 7-Sep-12;Media & Issues;Calgary, AB;Media & Issues Manager;Vice President, Corporate Communications & Investor Realtions;No;;The Manager will support the corporate communications requirements by developing and implementing communications strategies to support business goals, with a focus on external communications. This individual will be a valuable contributor to the cross-disciplinary team of corporate communications (internal and external), government, and investor relations. ;Support the development and execution of the company's media relations strategies to enhance image and reputation by:	- Participating in the development of pro-active and innovative media relations programs to 	communicate the Company's business and support overall positioning and branding 	strategies 	- Liaising regularly with company subject matter experts in order to develop company point of 	view on emerging public issues 	- Acting as a spokesperson for the company on all business matters 	- Drafting external documents such as news releases 	- Overseeing the public disclosure - review process for all external communications by the 	Disclosure Group 	- Regular review of Company's Communications Polices and Procedures for efficiency and 	effectiveness 	- Fostering and maintaining appropriate contacts with key print, broadcast and online media 	(including reporters, editorial staff and senior journalists) 	- Maintain media contacts database 	- Providing a monthly media analysis / reputation management assessment for senior 	management 	- Develop and facilitate annual executive training / coaching, and senior management media 	training plan 	- Developing and implementing social media strategy 	- Managing annual budget / administrative requirements 	- Supervising Senior Communications Advisor$$$%%%&&&Support the development and delivery of crisis communications plans by:	- Leading emergency response plan development and coordination 	- Leading emergency response training and crisis management 	- Ensuring Husky's crisis communications team remain current with corporate procedures and 	industry trends 	- Serving as a member of the corporate emergency response team including on-call duties$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;Bachelors Degree (Public Relations, Journalism, Commerce, etc.)$$$%%%&&&Graduates Degree (Public Relations, Journalism, Commerce, etc.);Bachelors Degree (Public Relations, Journalism, Commerce, etc.);Graduates Degree (Public Relations, Journalism, Commerce, etc.);;;;8 -15 years work experience in the field of strategic business communications$$$%%%&&&Emergency Response / Crisis Communications experience$$$%%%&&&Management / supervisory experience$$$%%%&&&Budget management experience$$$%%%&&&Stakeholder management experience;8 -15 years work experience in the field of strategic business communications$$$%%%&&&Emergency Response / Crisis Communications experience$$$%%%&&&Management / supervisory experience$$$%%%&&&Budget management experience$$$%%%&&&Stakeholder management experience;;Extensive understanding of energy industry;Extensive understanding of energy industry;;Familiarity with social media applications$$$%%%&&&Exceptional writing and oral communication skills$$$%%%&&&Strong analytical skills$$$%%%&&&Strong time management and prioritization skills;Familiarity with social media applications$$$%%%&&&Exceptional writing and oral communication skills$$$%%%&&&Strong analytical skills$$$%%%&&&Strong time management and prioritization skills;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; 7-Sep-12;Media & Issues;Calgary, AB;Senior Communications Advisor;Media & Issues Manager;No;;A senior professional to oversee the development of a wide variety of executive-level communications including news releases, conference call scripts, presentations, speeches, key messages and other material. The Advisor's role is to build support for Husky's strategy among key stakeholders, ensure issues are addressed with key internal and external audiences, and enhance the reputation of the Company generally. This position reports to the Manager, Media and Issues.;Build and maintain relationships with senior leaders within the Company.$$$%%%&&&Draft and edit wide variety of executive-level communications including news releases, interim reports, key messages, speeches, PowerPoint presentations, and related messaging that can be used with external audiences.$$$%%%&&&Identify new and effective methods of communicating our news.$$$%%%&&&Initiate, recommend and develop web site content.$$$%%%&&&Initiate, recommend and write content for newsletters, intranet articles and other such communication vehicles.$$$%%%&&&Provide issue management and media relations support as necessary.$$$%%%&&&Assist with the development and implementation of a social media strategy.$$$%%%&&&Provide pro active communications support for the leadership team of the Western Canada Business Unit.$$$%%%&&&Support the Communications team during issues and crisis management as a member of the emergency response team.;Bachelor's degree in a related field (journalism, and/or communications);Bachelor's degree in a related field (journalism, and/or communications);;;;;Minimum 5+ years strong Public Affairs experience is critical, with keen understanding of the petroleum industry$$$%%%&&&Knowledge of strategic communications, issues management and communications policies and procedures$$$%%%&&&Has overseen corporate image management, development of communications plans and protocol activities$$$%%%&&&Experience in or knowledge of issues and crisis management$$$%%%&&&Conducted and understands media relations;Minimum 5+ years strong Public Affairs experience is critical, with keen understanding of the petroleum industry$$$%%%&&&Knowledge of strategic communications, issues management and communications policies and procedures$$$%%%&&&Has overseen corporate image management, development of communications plans and protocol activities$$$%%%&&&Experience in or knowledge of issues and crisis management$$$%%%&&&Conducted and understands media relations;;Knowledge of oil and gas business;;Knowledge of oil and gas business;Business acumen, must be able to grasp key business ideas, quickly synthesize them and translate into clear language and messages$$$%%%&&&Strong skills in MS Office - notably Word, PowerPoint and Excel$$$%%%&&&Able to work collaboratively within a team and with others outside of the formal organization to achieve goals$$$%%%&&&Excellent communication and presentation skills sufficient to convey both factual and conceptual information requiring detailed explanation and interpretation to staff, professional and business groups$$$%%%&&&Demonstrated ability to advise and consult on strategic decisions, influence successful outcomes, guide decision-making and problem-solving$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines, often under tight time lines and with shifting priorities$$$%%%&&&Must have a Valid Driver's License and able to travel;Business acumen, must be able to grasp key business ideas, quickly synthesize them and translate into clear language and messages$$$%%%&&&Strong skills in MS Office - notably Word, PowerPoint and Excel$$$%%%&&&Able to work collaboratively within a team and with others outside of the formal organization to achieve goals$$$%%%&&&Excellent communication and presentation skills sufficient to convey both factual and conceptual information requiring detailed explanation and interpretation to staff, professional and business groups$$$%%%&&&Demonstrated ability to advise and consult on strategic decisions, influence successful outcomes, guide decision-making and problem-solving$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines, often under tight time lines and with shifting priorities$$$%%%&&&Must have a Valid Driver's License and able to travel;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; 13-Sep-12;Corporate Communications;Calgary, AB;Communications Lead;Manager, Corporate Communications;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; 7-Sep-12;Corporate Communications;Calgary, AB;Manager, Corporate Communications;Vice President, Corporate Communications & Investor Relations;No;;Reporting to the Vice President, Corporate Communications & Investor Relations, the Manager is responsible for managing associated events and issues in the production of Husky’s external and internal communications collateral while practicing and requiring the highest standards of writing and editing of all company communications collateral.;"Communication management – support development and implementation of the overall communication plan for Company and Business Units, ensuring integration across all projects and with broader communication strategies. This involves the management and delivery of core communication vehicles for external and internal communication strategies including; CEO and Executive communications, articles for internal print publications, news releases, corporate videos, company brochures, annual report, CSR report, Internet/Intranet sites, AGM and milestone events.$$$%%%&&&Planning, budgeting and scheduling are important components of the position.$$$%%%&&&Leader support – Provide support to the Business Units, including coordination of materials with IR for annual road shows, speeches, releases, key message development, etc.$$$%%%&&&Human Resources program support – Collaborate with HR to drive and support recognition activities, HR programs, employee / contractor on-boarding and the bi-annual employee engagement survey.$$$%%%&&&Environment Health & Safety communication – Collaborate with EH&S to develop communications strategies to support safety program maintaining integration with company-wide safety communications programs.$$$%%%&&&Special Events – Work with the team to plan and coordinate recognition, milestone and information-sharing events.$$$%%%&&&Oversee a team of communications professionals and develop work plans to proactively manage the production of written materials with keen focus and attention on quality of the writing, grammar, corporate messaging, etc$$$%%%&&&Develop and maintain communications procedures and job descriptions for the department and contribute to the annual planning of the department’s business plan and budget$$$%%%&&&Identify and anticipate potential communications issues and respond with strategic communications advice and related strategies to the General Manager, Corporate Communications & Investor Relations and senior management$$$%%%&&&Work closely with business units, IR and Media Relations in monitoring Husky’s corporate reputation and assist with the development of releases and corporate messages to enhance the Company’s reputation$$$%%%&&&Proactively communicate Husky’s business objectives and concerns to key influentials by cultivating positive relations with industry colleagues and key stakeholders$$$%%%&&&Help facilitate effective public consultation on Husky’s activity applications to regulators by working with business units to provide timely, accurate information to stakeholders$$$%%%&&&Assume a key role on the communications emergency response team in writing messages, employees updates, Board updates, etc$$$%%%&&&As required, assume the role of company spokesperson in delivering company approved messages on an occasional basis$$$%%%&&&Measurement – Measure the effectiveness of all communication programs and use analysis for continuous improvement.";Degree in journalism or communications;Degree in journalism or communications;;Professional accreditation as ABC or APR;;Professional accreditation as ABC or APR;10+ years writing experience;10+ years writing experience;;Oil and gas knowledge$$$%%%&&&General business understanding;Oil and gas knowledge$$$%%%&&&General business understanding;;Proficient in MS Office$$$%%%&&&Familiarity with online and print production$$$%%%&&&Familiarity with web sites$$$%%%&&&Demonstrated ability to multi-task and prioritize$$$%%%&&&Demonstrated writing ability and familiarity with CP Style$$$%%%&&&Demonstrated people management skills (tact and diplomacy)$$$%%%&&&Ability to deal with ambiguity$$$%%%&&&Demonstrated organizational skills$$$%%%&&&Strong project management skills$$$%%%&&&Strong research abilities$$$%%%&&&Strong management skills$$$%%%&&&Strong administrative skills;Proficient in MS Office$$$%%%&&&Familiarity with online and print production$$$%%%&&&Familiarity with web sites$$$%%%&&&Demonstrated ability to multi-task and prioritize$$$%%%&&&Demonstrated writing ability and familiarity with CP Style$$$%%%&&&Demonstrated people management skills (tact and diplomacy)$$$%%%&&&Ability to deal with ambiguity$$$%%%&&&Demonstrated organizational skills$$$%%%&&&Strong project management skills$$$%%%&&&Strong research abilities$$$%%%&&&Strong management skills$$$%%%&&&Strong administrative skills;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; 13-Sep-12;Corporate Communications;Calgary, AB;Multimedia Graphics Designer;Supervisor, Graphics;No;;;Responsible for the design and production internal and external presentations as required$$$%%%&&&Responsible for desktop publishing of the Weekly Bulletin$$$%%%&&&Responsible for digital photography, as required$$$%%%&&&Working collaboratively with other team members from Corp. Comm. & Investor Relations to provide graphic services to senior management$$$%%%&&&Flexible and back up other team members to ensure superior client service.$$$%%%&&&Able to communicate the company's strategic vision through the creation of compelling graphics arts presentations$$$%%%&&&Comfortable working with senior executives, including the CEO, to develop major company presentations$$$%%%&&&Willing to and capable of designing and developing company presentations and other communication materials$$$%%%&&&Responsible for digital graphics to be included in Husky presentations and websites$$$%%%&&&Responsible for posting content on the website;;;;;;;2 to 4 years of experience providing presentation graphics service;2 to 4 years of experience providing presentation graphics service;;;;;Up to date understanding and capability of relevant presentation, multimedia production, desktop publishing computer software, print production, Microsoft Office software and web design$$$%%%&&&Strong digital photography skills$$$%%%&&&Capable of posting text and images to the company website$$$%%%&&&Effective communication skills$$$%%%&&&Time management capabilities$$$%%%&&&Works well under pressure with peers and senior executives$$$%%%&&&Works well in a team atmosphere$$$%%%&&&Focused on delivering superior client service;Up to date understanding and capability of relevant presentation, multimedia production, desktop publishing computer software, print production, Microsoft Office software and web design$$$%%%&&&Strong digital photography skills$$$%%%&&&Capable of posting text and images to the company website$$$%%%&&&Effective communication skills$$$%%%&&&Time management capabilities$$$%%%&&&Works well under pressure with peers and senior executives$$$%%%&&&Works well in a team atmosphere$$$%%%&&&Focused on delivering superior client service;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
