;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CA_REQD;CA_ASSET;CP;CP_REQD;CP_ASSET;ER;ER_REQD;ER_ASSET;EI;EI_REQD;EI_ASSET;TS;TS_REQD;TS_ASSET;competencies;competency_group;Bending/Crouching:;Climbing:;Driving:;Keyboarding:;Kneeling/Crawling:;On-call:;Operating equipment:;Sedentary/Sitting:;Shift work:;Travel:;Walking:;Manual tools:;Office equipment:;Pneumatic tools:;Power tools:;Shop tools:;Tool belt worn:;Vibration tools:;Welding:; Extreme heat/cold:;Chemicals:;Confined spaces:;Heights:;Moving equipment:;Night time:;Noise:;Outdoors:;Rotating equipment:;Toxic gases:;Uneven surfaces:;Wet or damp:;Light 11-20 pounds:;Medium 21-50 pounds:;Sedentary 0-10 pounds:;Carrying:;Lifting:;Pushing/pulling:;Standing:
0; 23-Oct-12;Finance;Calgary, AB;Chief Financial Officer;President & Chief Executive Officer;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Executive ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; 20-Jul-12;Finance;Calgary, AB;Executive Assistant;Chief Financial Officer;No;;This position will provide administrative support to the Finance business unit and assist with a variety of duties related to planning, developing, marketing, and coordinating activities within the team as well as special projects.;Liaising with all levels of management to proactively deal with changing priorities and inquiries$$$%%%&&&Developing graphs, spreadsheets or presentation materials to assist in effective reporting within the department$$$%%%&&&Performing specific business/marketing research and analysis, along with preparing correspondence and reports to assist with department objectives$$$%%%&&&Coordinating new hires, employee changes, office moves, etc. through iManager and iRequest$$$%%%&&&Independently handling all general office administration tasks such as organizing meetings, reconciliation of Selling, General & Administration (SG&A) expenditures and Authorization for Expenditure (AFE) accounts, coordinating travel arrangements, scheduling appointments and maintaining files$$$%%%&&&Liaising with departmental staff to request, gather and summarize information;Office Administration or Business Administration Diploma or equivalent training and business experience;Office Administration or Business Administration Diploma or equivalent training and business experience;;;;;Minimum of 5 years progressive administrative/secretarial experience, preferably in the petroleum industry;Minimum of 5 years progressive administrative/secretarial experience, preferably in the petroleum industry;;;;;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Ability to communicate with all levels of the company and external contacts$$$%%%&&&Excellent proof reading and business writing skills$$$%%%&&&Displaying tact and good judgment in resolving problems and answering inquiries$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities$$$%%%&&&A high degree of initiative and self-motivation$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) ;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Ability to communicate with all levels of the company and external contacts$$$%%%&&&Excellent proof reading and business writing skills$$$%%%&&&Displaying tact and good judgment in resolving problems and answering inquiries$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities$$$%%%&&&A high degree of initiative and self-motivation$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) ;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2; 27-Sep-12;Audit;Calgary, AB;Administrative Assistant;Chief Internal Auditor;No;;;Provide general administrative support for the Business Unit$$$%%%&&&Manage the Business Unit's Intranet Page, HDMS Files, Insurance Certificates, and Supply Orders$$$%%%&&&Support mail, courier, filing and other data management requirements$$$%%%&&&Process and manage payment of invoices and entering payroll in SAP$$$%%%&&&Assist in budget preparation and monthly variance analysis$$$%%%&&&;Administration diploma, or equivalent training and business experience;Administration diploma, or equivalent training and business experience;;;;;Minimum of three years administrative experience;Minimum of three years administrative experience;;;;;Proficiency in Microsoft Office Suite including Word, Excel, and PowerPoint$$$%%%&&&Experience with SAP$$$%%%&&&Superior organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Service oriented with excellent communication and interpersonal skills$$$%%%&&&Demonstrated ability to display tact and good judgment in resolving problems and answering inquiries$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities$$$%%%&&&Excellent analytical and problem solving skills$$$%%%&&&Self-motivated with a positive attitude;Proficiency in Microsoft Office Suite including Word, Excel, and PowerPoint$$$%%%&&&Superior organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Service oriented with excellent communication and interpersonal skills$$$%%%&&&Demonstrated ability to display tact and good judgment in resolving problems and answering inquiries$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities$$$%%%&&&Excellent analytical and problem solving skills$$$%%%&&&Self-motivated with a positive attitude;Experience with SAP;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3; 27-Sep-12;Audit;Calgary, AB;Chief Internal Auditor;Chief Financial Officer;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4; 27-Sep-12;Audit;Calgary, AB;Internal Auditor;Chief Internal Auditor;No;;As a member of the Internal Audit Team you will be responsible for evaluating the effectiveness of the system of internal control over major company operations.;Developing audit objectives, scopes, and programs to evaluate the effectiveness of internal controls of major company operations$$$%%%&&&Identifying business risks, documenting business processes and conducting preliminary assessments$$$%%%&&&Applying appropriate audit techniques to analyze information, assess the adequacy of existing controls, and develop constructive recommendations that minimize business risks$$$%%%&&&Preparing audit reports to communicate findings and recommendations to senior management$$$%%%&&&Completing projects proficiently, thoroughly and within budget$$$%%%&&&;A recognized university degree and a professional accounting designation is required;A recognized university degree and a professional accounting designation is required;;;;;A minimum of 3 years progressive auditing experience (External and/or Internal)$$$%%%&&&A good understanding of business process control design and risk assessment.$$$%%%&&&Proficiency in designing and executing audit programs;A minimum of 3 years progressive auditing experience (External and/or Internal)$$$%%%&&&A good understanding of business process control design and risk assessment.$$$%%%&&&Proficiency in designing and executing audit programs;;Experience in the petroleum industry would be an asset.;Experience in the petroleum industry would be an asset.;;Strong computer skills are required. $$$%%%&&&SAP knowledge would be a definite asset.$$$%%%&&&Excellent interpersonal, communication and report writing skills$$$%%%&&&Strong project management skills$$$%%%&&&Proven ability to work in a team environment dealing with people from various disciplines to achieve goals, and to identify and resolve problems with minimal supervision$$$%%%&&&Above average analytical skills in order to secure relevant information/data and identify key issues and relationships to determine appropriate course of action to rectify deficiencies$$$%%%&&&Exceptional skills in effectively managing multiple tasks, often under pressure and within rigid time constraints;Strong computer skills are required. $$$%%%&&&Excellent interpersonal, communication and report writing skills$$$%%%&&&Strong project management skills$$$%%%&&&Proven ability to work in a team environment dealing with people from various disciplines to achieve goals, and to identify and resolve problems with minimal supervision$$$%%%&&&Above average analytical skills in order to secure relevant information/data and identify key issues and relationships to determine appropriate course of action to rectify deficiencies$$$%%%&&&Exceptional skills in effectively managing multiple tasks, often under pressure and within rigid time constraints;SAP knowledge would be a definite asset.;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; 27-Sep-12;Audit;Calgary, AB;Joint Venture Auditor;Team Lead, Joint Venture & Partner Audit;No;;As a member of the joint venture audit team you will conduct audits of non-operated joint venture properties/projects to ensure charges and revenues are in compliance with agreements and acceptable industry standards.;Thorough planning and preparation for assignments to ensure that risks are addressed$$$%%%&&&Executing assignments with time constraints, individually or as part of an audit team$$$%%%&&&Preparing audit programs, working papers, queries and reports to communicate findings and recommendations in a timely fashion$$$%%%&&&Completing administrative aspects of assignments such as confirmation letters, mail ballot requests, follow-up outstanding audit queries, response rebuttals and the preparation and issue of audit fees$$$%%%&&&Completing projects proficiently, thoroughly and within budget$$$%%%&&&;A recognized university degree in Accounting/Finance/Business is required;A recognized university degree in Accounting/Finance/Business is required;;A Canadian Association of Petroleum Production Accounting (CAPPA) Certificate is required$$$%%%&&&Petroleum Accountants Society of Canada (PASC) Petroleum Accounting completed courses would be an asset;A Canadian Association of Petroleum Production Accounting (CAPPA) Certificate is required;Petroleum Accountants Society of Canada (PASC) Petroleum Accounting completed courses would be an asset;A minimum of 3 years' progressive joint venture auditing experience$$$%%%&&&Experience in joint interest and/or production revenue accounting or joint venture, or contract compliance auditing;A minimum of 3 years' progressive joint venture auditing experience$$$%%%&&&Experience in joint interest and/or production revenue accounting or joint venture, or contract compliance auditing;;Familiarity with agreements, contracts and industry accounting procedures;Familiarity with agreements, contracts and industry accounting procedures;;Proficiency in Microsoft Word and Excel, with SAP knowledge is required$$$%%%&&&Good interpersonal, communication and report writing skills$$$%%%&&&Strong analytical, problem-solving and project management skills$$$%%%&&&Ability to adapt to a variety of projects and prepare organized, documented audit files$$$%%%&&&Able to assist other team members as required and work independently;Proficiency in Microsoft Word and Excel, with SAP knowledge is required$$$%%%&&&Good interpersonal, communication and report writing skills$$$%%%&&&Strong analytical, problem-solving and project management skills$$$%%%&&&Ability to adapt to a variety of projects and prepare organized, documented audit files$$$%%%&&&Able to assist other team members as required and work independently;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; 27-Sep-12;Audit;Calgary, AB;Senior Internal Auditor;Chief Internal Auditor;No;;As a member of the Internal Audit Team you will be responsible for evaluating the effectiveness of the system of internal control over major company operations.;Developing audit objectives, scopes, and programs to evaluate the effectiveness of internal controls of major company operations$$$%%%&&&Identifying business risks, documenting business processes and conducting preliminary assessments$$$%%%&&&Applying appropriate audit techniques to analyze information, assess the adequacy of existing controls, and develop constructive recommendations that minimize business risks$$$%%%&&&Preparing audit reports to communicate findings and recommendations to senior management$$$%%%&&&Completing projects proficiently, thoroughly and within budget$$$%%%&&&;A recognized university degree and a professional accounting designation is required;A recognized university degree and a professional accounting designation is required;;;;;A minimum of 3 years progressive auditing experience (External and/or Internal)$$$%%%&&&A good understanding of business process control design and risk assessment.$$$%%%&&&Proficiency in designing and executing audit programs;A minimum of 3 years progressive auditing experience (External and/or Internal)$$$%%%&&&A good understanding of business process control design and risk assessment.$$$%%%&&&Proficiency in designing and executing audit programs;;Experience in the petroleum industry would be an asset.;Experience in the petroleum industry would be an asset.;;Strong computer skills are required. $$$%%%&&&SAP knowledge would be a definite asset.$$$%%%&&&Excellent interpersonal, communication and report writing skills$$$%%%&&&Strong project management skills$$$%%%&&&Proven ability to work in a team environment dealing with people from various disciplines to achieve goals, and to identify and resolve problems with minimal supervision$$$%%%&&&Above average analytical skills in order to secure relevant information/data and identify key issues and relationships to determine appropriate course of action to rectify deficiencies$$$%%%&&&Exceptional skills in effectively managing multiple tasks, often under pressure and within rigid time constraints;Strong computer skills are required. $$$%%%&&&Excellent interpersonal, communication and report writing skills$$$%%%&&&Strong project management skills$$$%%%&&&Proven ability to work in a team environment dealing with people from various disciplines to achieve goals, and to identify and resolve problems with minimal supervision$$$%%%&&&Above average analytical skills in order to secure relevant information/data and identify key issues and relationships to determine appropriate course of action to rectify deficiencies$$$%%%&&&Exceptional skills in effectively managing multiple tasks, often under pressure and within rigid time constraints;SAP knowledge would be a definite asset.;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; 27-Sep-12;Audit;Calgary, AB;Senior Joint Venture Auditor;Team Lead, Joint Venture & Partner Audit;No;;As a member of the joint venture audit team you will conduct audits of non-operated joint venture properties/projects to ensure charges and revenues are in compliance with agreements and acceptable industry standards.;Thorough planning and preparation for assignments to ensure that risks are addressed$$$%%%&&&Executing assignments with time constraints, individually or as part of an audit team$$$%%%&&&Preparing audit programs, working papers, queries and reports to communicate findings and recommendations in a timely fashion$$$%%%&&&Completing administrative aspects of assignments such as confirmation letters, mail ballot requests, follow-up outstanding audit queries, response rebuttals and the preparation and issue of audit fees$$$%%%&&&Completing projects proficiently, thoroughly and within budget$$$%%%&&&;A recognized university degree in Accounting/Finance/Business is required;A recognized university degree in Accounting/Finance/Business is required;;A Canadian Association of Petroleum Production Accounting (CAPPA) Certificate is required$$$%%%&&&Petroleum Accountants Society of Canada (PASC) Petroleum Accounting completed courses would be an asset;A Canadian Association of Petroleum Production Accounting (CAPPA) Certificate is required;Petroleum Accountants Society of Canada (PASC) Petroleum Accounting completed courses would be an asset;A minimum of 3 years' progressive joint venture auditing experience$$$%%%&&&Experience in joint interest and/or production revenue accounting or joint venture, or contract compliance auditing;A minimum of 3 years' progressive joint venture auditing experience$$$%%%&&&Experience in joint interest and/or production revenue accounting or joint venture, or contract compliance auditing;;Familiarity with agreements, contracts and industry accounting procedures;Familiarity with agreements, contracts and industry accounting procedures;;Proficiency in Microsoft Word and Excel, with SAP knowledge is required$$$%%%&&&Good interpersonal, communication and report writing skills$$$%%%&&&Strong analytical, problem-solving and project management skills$$$%%%&&&Ability to adapt to a variety of projects and prepare organized, documented audit files$$$%%%&&&Able to assist other team members as required and work independently;Proficiency in Microsoft Word and Excel, with SAP knowledge is required$$$%%%&&&Good interpersonal, communication and report writing skills$$$%%%&&&Strong analytical, problem-solving and project management skills$$$%%%&&&Ability to adapt to a variety of projects and prepare organized, documented audit files$$$%%%&&&Able to assist other team members as required and work independently;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; 27-Sep-12;Audit;Calgary, AB;Team Lead, Corporate Systems & Regulatory Compliance;Chief Internal Auditor;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; 27-Sep-12;Audit;Calgary, AB;Team Lead, Joint Venture & Partner Audit;Chief Internal Auditor;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
