; ;                          SCBA:;                         PPE:;                         PPE:  ;                    Analyzers:;                Hard hat:;                Safety Boots:;               PMI Analyzer:;               Respirator:;              FR clothing:;            Safety Glasses:;          Resp./Fit Test:;         DCS Operation of                    equipment:;        Ear protection:;       Fall Protection:;       Resp. Qualified:;       Safety Harness:;      SCBA w/Fit Test:;     PPE Inc Harness:;     PPE Inc Harness:            ;    PPE Inc. Harness:;    PPE Incl Harness:;   Arc Flash Clothing:;   PPE Incl  Harness:;   PPE Incl. Harness:;   PPE incl. Harness:;  Respirator/Fit Test:; Direct Reports:; Extreme heat/cold:;Arc Flash Clothing;Arc flash Clothing;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Direct Reports (#):;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Ear protection;Electrical Testing Equipment and Test Instruments.;Extreme heat/cold:;FR clothing;Fall Protection;Fall protection;Fire protective gear:;Hard hat;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;N/A;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;POSITION SUMMARY: ;PPE Inc Harness:;PPE Inc. Harness:;PPE:;Perform Safety Critical Tasks?;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Respirator/Fit Test:;Respirator/Fit Tested:;Rotating equipment:;SCBA;Safety Boots;Safety boots;Safety glasses;Safety-Sensitive:;Sampling Systems and Equipment:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Variable working Hours depending on training needs:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 13-Nov-12;Upstream Planning;;;;;;;;;;;;;;;;;;;;;;Calgary, AB;;;;;;;;;;;;;;;;;;Commercial Advisor;;;Upstream Planning Manager;;;;;;;;No;;;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 13-Nov-12;Upstream Planning;;;;;;;;;;;;;;;;;;;;;;Calgary, AB;;;;;;;;;;;;;;;;;;Improvement Advisor;;;Upstream Planning Manager;;;;;;;;No;;;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 13-Nov-12;Upstream Planning;;;;;;;;;;;;;;;;;;;;;;Calgary, AB;;;;;;;;;;;;;;;;;;Planning Advisor;;;Upstream Planning Manager;;;;;;;;No;;;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 13-Nov-12;Upstream Planning;;;;;;;;;;;;;;;;;;;;;;Calgary, AB;;;;;;;;;;;;;;;;;;Upstream Planning Manager;;;Chief Operating Officer;;;;;;;;No;;;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;Occasionally;High School diploma, secretarial diploma, or equivalent training and business experience$$$%%%&&&Related post-secondary education is preferred$$$%%%&&&Supervisory / Leadership development;Related post-secondary education is preferred$$$%%%&&&Supervisory / Leadership development;High School diploma, secretarial diploma, or equivalent training and business experience;;;;Occasionally;N/A;N/A;N/A; 21-Dec-16;Plant Management;;N/A;Petroleum industry experience preferred;Petroleum industry experience preferred;;Minimum 10 years' progressive administrative experience ;;Minimum 10 years' progressive administrative experience ;;;;;;;;;N/A;Constantly;Occasionally;Occasionally;N/A;Lloydminster Upgrader;N/A;N/A;N/A;;N/A;N/A;Constantly;N/A;N/A;N/A;"Provide office services by implementing administrative systems, procedures, and policies and monitoring administrative projects and initiatives throughout Canadian Downstream ensure efficiency and accuracy;  Develop administrative staff by providing information, educational opportunities, and coachingChampion the communications initiatives to improve and enhance engagement from staffLiaison closely with the Vice President, Canadian Downstream and his line management team Oversee the deployment and coordination of non-safety training opportunities throughout the Lloydminster Upgrader Complex and on occasion the Lloydminster district.  ";;;;;;N/A;Administration Coordinator;N/A;Occasionally;Al MacLauchlan;;;N/A;;;;;No;;N/A;Frequently;N/A;N/A;Frequently;Demonstrate strong leadership and a shared vision within the team$$$%%%&&&Fosters innovation and creativity$$$%%%&&&Excellent troubleshooting capabilities in order to resolve issues readily$$$%%%&&&Creates energy and enthusiasm among team members effectively influencing in a positive way$$$%%%&&&Coaches others in achieving their goals and objectives$$$%%%&&&Ability to handle highly confidential and sensitive information$$$%%%&&&Exceptional organizational skills$$$%%%&&&Ability to communicate with all levels of the company and external contacts$$$%%%&&&Excellent editing, grammar and proofreading skills$$$%%%&&&Strong sense of tact and good judgment$$$%%%&&&Highly efficient with close attention to detail $$$%%%&&&Exceptional customer service orientation with willingness to provide assistance where needed$$$%%%&&&Strong time management skills in order to organize workload and priorities$$$%%%&&&Highly motivated, outstanding positive attitude and desire to grow job$$$%%%&&&Dynamic interpersonal skills$$$%%%&&&Ability to work independently and jointly as a team$$$%%%&&&Strong overall computer skills, Proficient in Microsoft Office (Outlook, Word, Excel, PowerPoint, Publisher, Visio) $$$%%%&&&Communication Training$$$%%%&&&Event planning and organizing;Communication Training$$$%%%&&&Event planning and organizing;Demonstrate strong leadership and a shared vision within the team$$$%%%&&&Fosters innovation and creativity$$$%%%&&&Excellent troubleshooting capabilities in order to resolve issues readily$$$%%%&&&Creates energy and enthusiasm among team members effectively influencing in a positive way$$$%%%&&&Coaches others in achieving their goals and objectives$$$%%%&&&Ability to handle highly confidential and sensitive information$$$%%%&&&Exceptional organizational skills$$$%%%&&&Ability to communicate with all levels of the company and external contacts$$$%%%&&&Excellent editing, grammar and proofreading skills$$$%%%&&&Strong sense of tact and good judgment$$$%%%&&&Highly efficient with close attention to detail $$$%%%&&&Exceptional customer service orientation with willingness to provide assistance where needed$$$%%%&&&Strong time management skills in order to organize workload and priorities$$$%%%&&&Highly motivated, outstanding positive attitude and desire to grow job$$$%%%&&&Dynamic interpersonal skills$$$%%%&&&Ability to work independently and jointly as a team$$$%%%&&&Strong overall computer skills, Proficient in Microsoft Office (Outlook, Word, Excel, PowerPoint, Publisher, Visio) ;Vice President, Canadian Downstream;N/A;N/A;N/A;N/A;;N/A;Frequently;N/A;N/A;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;"Establish and maintain positive communication links with Executives, Senior Management and a variety of individuals throughout the company supporting their needs$$$%%%&&&Maintain and strengthen communications throughout Canadian Downstream$$$%%%&&&Coordinate the Administrative support group ensuring operational practices and procedures within the Business Unit are efficient and consistent$$$%%%&&&Assist Vice President by screening correspondence and inquiries, ensure the scheduling of appointments and meetings accurately reflects priorities, and prepare correspondence as required;  Implement and improve guidelines to ensure good working practices within Canadian Downstream$$$%%%&&&Budget coordination for HLU Plant Management team$$$%%%&&&Oversee the deployment of non-safety training requirements$$$%%%&&&Coordinate project work and assist with Corporate initiatives as required$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities"
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;Occasionally;High School diploma or equivalent$$$%%%&&&Business / Technical Diploma or related Degree with purchasing experience an asset;Business / Technical Diploma or related Degree with purchasing experience an asset;High School diploma or equivalent;;;;Occasionally;N/A;N/A;N/A; 21-Dec-16;Plant Management;;N/A;Basic industry / product knowledge;;Basic industry / product knowledge;Minimum of five years experience in field related business and/or Purchasing;Minimum of five years experience in field related business and/or Purchasing;;;;;;;;;;N/A;Constantly;Occasionally;Occasionally;N/A;Husky Lloydminster Upgrader;N/A;N/A;N/A;;N/A;N/A;Constantly;N/A;N/A;N/A;This position is responsible for purchasing routine and standard goods and services from formation of order to receipt of goods/services and related invoice(s) and ensuring closure of PO.  Close liaison between originator, approver, vendor and central receiving department.;;;;;;N/A;Requisition Technician;N/A;N/A;Admin Coordinator ;;;N/A;;;;;No;;N/A;Constantly;N/A;N/A;Frequently;Strong working knowledge of Procurement process$$$%%%&&&Strong working knowledge of SAP R/3 MM module and MS Office suite$$$%%%&&&Strong team player$$$%%%&&&Excellent planning and organizing skills$$$%%%&&&Strong analytical and problem solving$$$%%%&&&Detail oriented$$$%%%&&&Energetic, positive, personable, and enthusiastic$$$%%%&&&Ability to accurately handle a large volume of purchase transactions with tight timeframes$$$%%%&&&Strong interpersonal and communication skills;;Strong working knowledge of Procurement process$$$%%%&&&Strong working knowledge of SAP R/3 MM module and MS Office suite$$$%%%&&&Strong team player$$$%%%&&&Excellent planning and organizing skills$$$%%%&&&Strong analytical and problem solving$$$%%%&&&Detail oriented$$$%%%&&&Energetic, positive, personable, and enthusiastic$$$%%%&&&Ability to accurately handle a large volume of purchase transactions with tight timeframes$$$%%%&&&Strong interpersonal and communication skills;;N/A;N/A;N/A;N/A;;N/A;Frequently;N/A;N/A;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;Accurately create timely system requisitions$$$%%%&&&Responsible for purchase order transactions from formation of order to receipt of goods/services and related invoice(s) and ensuring closure of PO$$$%%%&&&Processing of PO's through Accounts Payable workflow process$$$%%%&&&Provide assistance and support, and educate the approver and originator and provide continuous improvement to the process $$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities$$$%%%&&&*  NOTE:  The time estimates may vary pending each Requisition Technician position 
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;University degree or technical school diploma, preferable in business economics or a related discipline;;University degree or technical school diploma, preferable in business economics or a related discipline;;;;;;;; 21-Dec-16;Unit Contact Engineering;;;Experience in a processing plant or petrochemical industry;Experience in a processing plant or petrochemical industry;;;;;;;;;;;;;;;;;;Husky Lloyd Upgrader;;;;;;;;;;;Direct jointly with others and recommend and partici[ate in the development, implementation, and maintenance of the Husky Lloydminster Upgrader production plan.Devise and propose strategic objectives on a variety od process and operations issue that contribute to the overall strategic direction of the production plan.Responsible for forecasting and nominating daily and monthly oil production for the Husky Lloydminster Upgrader.;;;;;;;Production Planning Analyst;;;Business & Unit Contact Engineering Team Lead ;;;;;;;;No;;;;;;;Strong working knowledge of integrated hydrocarbon information systems$$$%%%&&&Understanding of operating costs and product values$$$%%%&&&Extensive knowledge dealing with energy conservation and data historian projects$$$%%%&&&Strong computer skills (Microsoft Excel, Word and Powerpoint) as well as extensive knowledge in a monitoring and trending program;Strong working knowledge of integrated hydrocarbon information systems$$$%%%&&&Understanding of operating costs and product values$$$%%%&&&Extensive knowledge dealing with energy conservation and data historian projects;Strong computer skills (Microsoft Excel, Word and Powerpoint) as well as extensive knowledge in a monitoring and trending program;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Formulate, implement and reconcile production volume plans	- forecast and nominate product volumes based on yield, process unit performance and 	Marketing and Lloyd district constraints	- monitor yield performance for the process units	- collect and analyze plant throughout and inventory on a regular basis	- develop and implement contingency plans to minimize product volume losses during plant 	outages	- develop short term plan directives for operations$$$%%%&&&Analyze and direct product quality	- collect and analyze lab data against production specifications	- determine blend ratios for Husky Synthetic Blend and direct Operations to meet quality$$$%%%&&&Assess and prepare shipping, receiving and inventory capabilities for internittent plant and turnarounds	- develop and initiate shipping/receipts, inventory and logistical plans with Husky Operations, 	Marketing, Pipeline, Refinery, and Production.$$$%%%&&&Coordinate strategies with Marketing on plant process and production planning issues.	- inform all Husky Contacts (Operations, Marketing, Pipeline and Refinery) of outages, or 	constraints and work out a detailed plan for the duration of the event$$$%%%&&&Develop and maintain computer systems used for long term and strategic production planning	- identify and implement new systems and upgrade existing systems for Production Planning 	purposes	- assist Operations with program problems, upgrades and monitoring capabilities	- develop and maintain plan performance monitoring spreadsheets	- collect historical performance data	- evaluate plant performance data for benchmarking software (Solomon)$$$%%%&&&Review internal and external auditing recommendations and ensure that all point are continuously being completed$$$%%%&&&Provide outage costs for plant outages and economic justification for various projects dealing with HLU development	- prepare lost profit reports for plant outages and equipment failures for repair/replacement 	justifications	- review various projects and summarize the benefits of implementation$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 21-Dec-16;HLU Maintenance;;;;;;;;;;;;;;;;;;;;;;Husky Lloyd Upgrader;;;;;;;;;;;The Construction Coordinator is responsible for ensuring that all projects are constructed and executed in a timely, effective and safe professional manner consistent with corporate and HLU objectives, policies and standards.Providing leadership and direction to create and maintain a safe work environment and ensure that company and HLU safety policies and procedures are adhered to.Assist and support the Maintenance Coordinator for the review of project scopes, estimates, issuing tenders, receiving and reviewing bids and arranging coordinating pre-bid and pre-award meetings with contractors.Maintaining, tracking and reporting on project cost control and schedule.;;;;;;;Construction Coordinator;;;Maintenance Coordinator;;;;;;;;Yes;;;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;Provide hands on field coordination and supervision of Husky and contractor personnel.$$$%%%&&&Ensure projects are completed in compliance with Husky's engineering design criteria, specifications, and applicable code requirements.$$$%%%&&&Maintain a close working relationship with engineering, purchasing, cost control, QA/QC, field operations and purchasing/warehouse personnel.$$$%%%&&&Work closely with engineering, operations, maintenance and purchasing personnel to review and develop project scopes, cost estimates, contract documents, and execution schedules.  Review projects for constructability and maintenance.$$$%%%&&&Coordinate, complete and schedule the applicable safe work permits, excavation permits, system tie-ins, etc. by working closely with engineering and operations.$$$%%%&&&Coordination and scheduling of site access and orientation for contractor personnel.  Track, maintain and report on contractor manpower numbers.$$$%%%&&&Establish safety as a priority by providing field leadership and direction in terms of audits, walkabouts and periodic inspections.  Ensure all contractor incidents are reported, discussed and resolved in accordance with the contractor's safety program and Husky Safety Policies and Procedures.  Will be required to lead incident investigations that require investigation or resolution outside of contractor's scope.  Maintain and report weekly incident stats for all major construction projects.$$$%%%&&&Submitting daily or weekly progress reports to the Maintenance Coordinator and engineering staff as required.$$$%%%&&&Checking, coordinating and monitoring the issuing of material from the warehouse and the access/removal of contractor material and equipment from the HLU site.$$$%%%&&&Verifying material usage, labor man-hours and additional work on contractor daily time tickets.$$$%%%&&&Verifying welder qualifications and completion of QA/QC documentation for each project.$$$%%%&&&Leading and coordinating project punch outs and turnovers including preparation of applicable turnover documentation in accordance with HLU standards.$$$%%%&&&Ensuring as-built drawings are completed and submitted to engineering and drafting at the end of each project.$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 21-Dec-16;HLU Maintenance;;;;;;;;;;;;;;;;;;;;;;Husky Lloyd Upgrader;;;;;;;;;;;The individual will be responsible for the field coordination and supervision for the construction of capital projects and the execution of major expense projects as assigned.;;;;;;;Construction Supervisor;;;Turnaround Superintendent;;;;;;;;Yes;;;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;Responsible for ensuring that all projects are constructed and executed in a timely, effective and safe professional manner consistent with corporate and HLU objectives, policies and standards.$$$%%%&&&Providing leadership and direction to create and maintain a safe work environment and ensure that company and HLU safety policies and procedures are adhered to.$$$%%%&&&Assist and support the Turnaround and Project Superintendent for the review of project scopes, estimates, issuing tenders, receiving and reviewing bids and arranging coordinating pre-bid and pre-award meetings with contractors.$$$%%%&&&Maintaining, tracking and reporting on project cost control and schedule.$$$%%%&&&Provide hands on field coordination and supervision of Husky and contractor personnel.$$$%%%&&&Ensure projects are completed in compliance with Husky’s engineering design criteria, specifications, and applicable code requirements.$$$%%%&&&Maintain a close working relationship with engineering, purchasing, cost control, QA/QC, field operations and purchasing/warehouse personnel.$$$%%%&&&Work closely with engineering, operations, maintenance and purchasing personnel to review and develop project scopes, cost estimates, and execution schedules.  Review projects for constructability and maintenance.$$$%%%&&&Coordinate, complete and schedule the applicable safe work permits, excavation permits, system tie-ins, ect. by working closely with engineering and operations.$$$%%%&&&Coordination and scheduling of site access and orientation for contractor personnel.  Track, maintain and report on contractor manpower numbers.$$$%%%&&&Establish safety as a priority by providing field leadership and direction in terms of audits, walkabouts and periodic inspections.  Ensure all contractor incidents are reported, discussed and resolved in accordance with the contractor’s safety program and Husky Safety Policies and Procedures.  Will be required to lead incident investigations that require investigation of resolution outside of contractor’s scope.  Maintain and report weekly incident stats for all major construction projects.$$$%%%&&&Submitting daily or weekly progress reports to the Turnaround and Project Superintendent and engineering staff as required.$$$%%%&&&Checking, coordinating and monitoring the issuing of material from the warehouse and the access/removal of contractor material and equipment from the HLU site.$$$%%%&&&Verifying material usage, labor man-hours and additional work on contractor daily time tickets.$$$%%%&&&Verifying welder qualifications and completion fo QA/QC documentation for each project.$$$%%%&&&Leading and coordinating project punch outs and turnovers including preparation of applicable turnover documentation in accordance with HLU standards.$$$%%%&&&Ensuring as-build drawings are completed and submitted to engineering and drafting at the end of each project.$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Occasionally;;;;Grade 12 or equivalent education.;;Grade 12 or equivalent education.;Saskatchewan Journeyman / Interprovincial Electrical Certification;;Saskatchewan Journeyman / Interprovincial Electrical Certification;Frequently;Occasionally;Constantly;Occasionally; 15-Aug-17;Mechanical - Maintenance;;Occasionally;Minimum 5 years of related experience working in a plant maintenance setting$$$%%%&&&Ability to troubleshoot problems, provide recommendations, and implement short and long term solutions.$$$%%%&&&Ability and skill to communicate effectively and work collaboratively with multi-disciplined personnel  such as Operations, Engineering, Trades and Planning personnel. $$$%%%&&&Related experience in an industrial maintenance setting, preferably oil or gas processing$$$%%%&&&Ability to work with minimal supervision, independently or in a team setting$$$%%%&&&Experience working with Electrical heat tracing (EHT$$$%%%&&&Experience working with 25 KV / 4160V / 600V switchgear and associated systems.$$$%%%&&&Knowledge of and experience with DCS (distributed control systems) and PLC's (programmable logic controllers), communication and building Automation systems.$$$%%%&&&Awareness of Variable Frequency Drives$$$%%%&&&Knowledge of and Experience with monitor logic and Protection relays$$$%%%&&&Experience working with UPS/Battery and Generator systems;Minimum 5 years of related experience working in a plant maintenance setting$$$%%%&&&Related experience in an industrial maintenance setting, preferably oil or gas processing$$$%%%&&&Experience working with Electrical heat tracing (EHT$$$%%%&&&Experience working with 25 KV / 4160V / 600V switchgear and associated systems.$$$%%%&&&Knowledge of and experience with DCS (distributed control systems) and PLC's (programmable logic controllers), communication and building Automation systems.$$$%%%&&&Awareness of Variable Frequency Drives$$$%%%&&&Knowledge of and Experience with monitor logic and Protection relays$$$%%%&&&Experience working with UPS/Battery and Generator systems;Ability to troubleshoot problems, provide recommendations, and implement short and long term solutions.$$$%%%&&&Ability and skill to communicate effectively and work collaboratively with multi-disciplined personnel  such as Operations, Engineering, Trades and Planning personnel. $$$%%%&&&Ability to work with minimal supervision, independently or in a team setting;Strong communication, interpersonal and teamwork skills$$$%%%&&&Must be proficient with industrial electrical Safety codes of Practice.;;Strong communication, interpersonal and teamwork skills;;;;;;;;;Constantly;Occasionally;Occasionally;Frequently;;Husky Lloydminster Upgrader;Constantly;Frequently;Frequently;;Occasionally;Constantly;Occasionally;Occasionally;Frequently;Constantly;The primary function of this position is to provide maintenance electrical support  to a complex oil upgrading facility and Cogen facility.  In this role, you will be responsible for ensuring all work is executed in a timely, safe and effective manner consistent with corporate and site specific policies, procedures and guidelines.  You may be involved with  the development and  implementation of short and long term maintenance programs and standards.  ;;;;;;Occasionally;Trades - Electrical;Frequently;Frequently;Electrical;;;Frequently;;;;;Yes;;;Occasionally;Occasionally;Occasionally;Constantly;Strong computer skills including MS Office suite$$$%%%&&&SAP$$$%%%&&&OH&S$$$%%%&&&Incident Reporting ;SAP$$$%%%&&&OH&S$$$%%%&&&Incident Reporting ;Strong computer skills including MS Office suite;;Constantly;Frequently;Occasionally;Constantly;;Occasionally;Constantly;N/A;Occasionally;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&Read and interpret drawings and blueprints.$$$%%%&&&Plans and executes repairs to Upgrader plant  equipment in a timely manner.$$$%%%&&&Executes and analyzes predictive and preventative maintenance programs.$$$%%%&&&Perform preventative maintenance and inspection.$$$%%%&&&Maintains equipment history records using manual and computer systems (SAP)$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&Complies with all HS&E requirements $$$%%%&&&Provide Technical recommendations for process and equipment improvements.$$$%%%&&&Completes duties as per Industrial electrical Safety codes of Practice.
