; Extreme heat/cold:;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Rotating equipment:;Safety-Sensitive:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
0;;;Under-graduate degree in Engineering, Geology or Geophysics$$$%%%&&&Post-graduate education in Business or Management or equivalent experience in business would be an asset$$$%%%&&&Additional technical training courses;Post-graduate education in Business or Management or equivalent experience in business would be an asset$$$%%%&&&Additional technical training courses;Under-graduate degree in Engineering, Geology or Geophysics;P. Eng. License or equivalent$$$%%%&&&Professional level translation skills$$$%%%&&&Project management skills (CPM);P. Eng. License or equivalent$$$%%%&&&Professional level translation skills$$$%%%&&&Project management skills (CPM);;;;;; 29-Jun-12;Operations - Asia Pacific;;Proven experience in running project and asset economics for oil and gas properties$$$%%%&&&Experience participating in reserves studies and/or reservoir evaluations$$$%%%&&&Familiarity with reserves booking practices;;Proven experience in running project and asset economics for oil and gas properties$$$%%%&&&Experience participating in reserves studies and/or reservoir evaluations$$$%%%&&&Familiarity with reserves booking practices;Minimum 5 years experience in Energy business with commercial and technical assignments.$$$%%%&&&Reservoir engineering experience 3 years minimum$$$%%%&&&Economic evaluation of projects 5 years;Reservoir engineering experience 3 years minimum;Minimum 5 years experience in Energy business with commercial and technical assignments.$$$%%%&&&Economic evaluation of projects 5 years;;;;;;Shekou, P.R.C.;;;;;;;;;;Monitors, analyzes, and manages on commercially significant developments within Husky Asia Pacific’s business portfolio.  He/she will assume responsibility for coordinating project teams to evaluate commercial arrangements.  Coordination with other departments, such as Husky Asia Pacific Exploration/New Ventures, Operations, Subsurface, Marketing, and Finance will be necessary to achieve these objectives.;;Business & Commercial Manager;;;Chief Operationg Officer, Asia Pacific;;No;;;;;;Strong proficiency in Microsoft Word, Excel and PowerPoint.$$$%%%&&&Proficiency with economic modeling software (e.g. “at risk” and “crystal ball”)$$$%%%&&&Experience in contract and commercial negotiations;Experience in contract and commercial negotiations;Strong proficiency in Microsoft Word, Excel and PowerPoint.$$$%%%&&&Proficiency with economic modeling software (e.g. “at risk” and “crystal ball”);;;;Occasionally;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Prepare and manage project economics in line with Husky’s established policies and practices.$$$%%%&&&Prepare technical and economic assessments on properties and projects and prepare recommendations for management review.$$$%%%&&&Conduct asset, corporate, basin, and country research which is aimed at developing business strategies.$$$%%%&&&Assist in integrating newly acquired assets into Husky’s organization.$$$%%%&&&Coordinate and lead management and reviews with partners and government officers.$$$%%%&&&Work with the Business Services group to ensure the legal documents and agreements properly and fully reflect the business arrangement and commercial terms.$$$%%%&&&Ensuring that a culture of strong and effective team-work exists in the various Project Teams in Asia-Pacific by setting up and facilitating critical meetings.$$$%%%&&&Manage the reserves reporting effort for the Asia-Pacific region.$$$%%%&&&Coordinate the tracking of the New Ventures opportunities portfolio across the Asia-Pacific business unit.
1;;;;;;;;;;;;; 5-Sep-12;Operations - Asia Pacific;;;;;;;;;;;;;Shekou;;;;;;;;;;;;Chief Operating Officer, Asia Pacific;;;;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
2;;;A secreterial diploma, or equivalet training and business experience.;;A secreterial diploma, or equivalet training and business experience.;;;;;;;; 29-Jun-12;Operations - Asia Pacific;;;;;At least 5 years’ working experience at a senior executive level, with the ability to handle very sensitive business information in a timely manner.;;At least 5 years’ working experience at a senior executive level, with the ability to handle very sensitive business information in a timely manner.;;;;;;Shekou;;;;;;;;;;Provide administrative support and assistance to the Chief Operating Officer – Asia Pacific so as to ensure a smooth and efficient operation of the business unit/entity.  Additionally, the incumbent in this position will be required to provide administrative support to the leaders in the regional and head offices (Hong Kong, China, Indonesia and Calgary) as required.;;Executive Assistant;;;Chief Operating Officer - Asia Pacific;;No;;;;;;Excellent communication and business skills.$$$%%%&&&Highly developed organizational skills to effectively coordinate activities and gather relevant information.$$$%%%&&&Strong time management skills to meet work assignment deadlines.$$$%%%&&&Ability to work in English and Chinese on Microsoft Office programs including Outlook, Excel, PowerPoint, and Word.;;Excellent communication and business skills.$$$%%%&&&Highly developed organizational skills to effectively coordinate activities and gather relevant information.$$$%%%&&&Strong time management skills to meet work assignment deadlines.$$$%%%&&&Ability to work in English and Chinese on Microsoft Office programs including Outlook, Excel, PowerPoint, and Word.;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;Provide Administrative / Secretarial support to the Chief Operating Officer of Asia Pacific.$$$%%%&&&Liaise with all direct reports to ensure reports and meeting preparation requirements are submitted in a consistent and timely fashion.  Ensure Asia Pacific monthly report submission to the lead officer on time.$$$%%%&&&Record, transcribe and distribute minutes of meetings as required.$$$%%%&&&Compile and summarize information, independently developing appropriate graphs, spreadsheets and presentations to assist in effective reporting.$$$%%%&&&Manage, maintain and coordinate executive’s schedules, appointments and travel arrangements for Chief Operation Officer and direct reports as required.$$$%%%&&&Liaise with other Lead Officers and Managers from Shekou, Hong Kong and Calgary to request, gather and summarize information.$$$%%%&&&Organize Quarterly Employee Updates meeting as well as all other group functions.$$$%%%&&&Assist Chief Operating Officer to monitor all direct reports’ records as required.$$$%%%&&&Filling assistance for Chief Operating Officer in both hard and soft copy, file and retrieve documents and reference materials.$$$%%%&&&Assist as necessary to support the Liwan Project Director and the VP/GM of HOCL.$$$%%%&&&Coordinate and assist with the activities of the other executive support staff.
3;;;;;;College graduate;College graduate;;;;;; 3-Jul-12;Block 29/26 Liwan Project;;Related experience;;Related experience;Related experience;;Related experience;;;;;;SK Office;;;;;;;;;;" - Ensure the office general operation; - Provide general administrative and confidential support to the 7th floor tender evaluation staff, including: - Perform coordination and general liaison with the 10th floor, as needed. - Attend the entrance to the 7th floor secure office area.";;Admnistrative Assistant ;;;;;No;;;;;;Knowledge of Microsoft Office (Word, Excel, PowerPoint) and other computer operations$$$%%%&&&Advanced English reading and writing skills required.$$$%%%&&&Skill of file management.$$$%%%&&&Skilled in the use of office equipments.;;Knowledge of Microsoft Office (Word, Excel, PowerPoint) and other computer operations$$$%%%&&&Advanced English reading and writing skills required.$$$%%%&&&Skill of file management.$$$%%%&&&Skilled in the use of office equipments.;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Be responsible for visitor sign in and sign out process.$$$%%%&&&Collation of clarification requests.$$$%%%&&&Issue and reciept of correspondence.$$$%%%&&&Scribe meetings with bidders.$$$%%%&&&Manage logistics of meetings with bidders.$$$%%%&&&Receive incoming documents, parcels or faxes, acknowledge and distribute. Arrange pick up for parcels / documents.$$$%%%&&&Supervise use of office stationery, replenish as required.$$$%%%&&&Office conference room reservations and meeting equipments set up.$$$%%%&&&Update staff contact list.$$$%%%&&&Maintain tidiness of office area and ensure all equipment is in good condition.  Liaise with the contractors for repair.$$$%%%&&&Provide administrative support to all occupants of the 7th floor office.
4;;;A degree in Law or Business Administration.$$$%%%&&&Engineering Degree supported by other formal commercial training$$$%%%&&&Post-graduate degree in engineering or business;A degree in Law or Business Administration.$$$%%%&&&Engineering Degree supported by other formal commercial training;Post-graduate degree in engineering or business;;;;;;;; 3-Jul-12;Block 29/26 Liwan Project;;An external network with the engineering, construction, and project management communities.$$$%%%&&&Experience in global procurement and contracts in major/mega projects.$$$%%%&&&Extensive experience with tendering processes and techniques;;An external network with the engineering, construction, and project management communities.$$$%%%&&&Experience in global procurement and contracts in major/mega projects.$$$%%%&&&Extensive experience with tendering processes and techniques;20 years commercial experience in a mega projects environment dealing with major contracts and procurement management$$$%%%&&&Demonstrated competencies in strategic leadership$$$%%%&&&Experience in applying best practices and business systems in managing high volume, high value contracts and purchase orders;;20 years commercial experience in a mega projects environment dealing with major contracts and procurement management$$$%%%&&&Demonstrated competencies in strategic leadership$$$%%%&&&Experience in applying best practices and business systems in managing high volume, high value contracts and purchase orders;;;;;;Shekou;;;;;;;;;;This position is responsible for the overall performance of the commercial administration, project controls and other project administrative aspects of the Liwan Area Development, accountable to the VP, Liwan Project.  The department headed by this position will provide the following functions and support to the Liwan Area Development project whether it be the Husky executed Deepwater scope or Shallow Water scope to be executed by CNOOC with Husky oversight.;;Commercial & Project Services Manager;;;Vice President, Liwan Projecy;;No;;;;;;Proven track record of integrity.$$$%%%&&&Exemplary negotiation skills$$$%%%&&&Practical expertise in dispute resolution and claims management;;Proven track record of integrity.$$$%%%&&&Exemplary negotiation skills$$$%%%&&&Practical expertise in dispute resolution and claims management;;;;Occasionally;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Departmental responsibilities include:	- Contracting & Procurement – Provision and management of all contracting and procurement 	strategies and activities for the Liwan Project in consultation with the VP, Liwan Project and 	Project Managers.	- Planning – Provision and management of all planning strategies, systems and resources to 	support the VP, Liwan Project and Husky Project Managers.	- Risk Management – Provision of Risk Management coordination strategies and resources 	to support the overall Liwan project on behalf of Husky.	- Document Control – Provision and Management of strategies, systems and resources to 	manage Liwan Project Documentation.	- Communications and Information Management – Ensure provision of appropriate 	communications and I.T. systems and support to the Liwan project team in accordance with 	Corporate strategies.$$$%%%&&&Directly manage, coordinate and mentor the Project Commercial / Project Controls staff as shown in the approved organization chart$$$%%%&&&Provide functional management to the Commercial Supervisors or other Commercial or Project Controls resources embedded in the Scope Teams of the Husky Deepwater or Shallow Water groups.$$$%%%&&&Liaise with other departments and functions to ensure that Liwan Project Commercial / Project Controls requirements are met, in line with Corporate expectations.$$$%%%&&&Liaise with the Husky Project Managers to ensure that Commercial and Project Controls strategies are appropriately applied and accurate reporting information is received.$$$%%%&&&Liaise with other project stakeholders such as CNOOC on all project commercial matters as required by the VP, Liwan Project.$$$%%%&&&Report to the VP, Liwan Project via the Liwan Area Development Monthly Report on all project progress and performance matters.
5;;;College graduate, preferably legal or project controls background;;College graduate, preferably legal or project controls background;;;;;;;; 29-Jun-12;Liwan Deep Water Project;;2 years minimum related experience experience;;2 years minimum related experience experience;2 years minimum related experience in a management or coordination role;;2 years minimum related experience in a management or coordination role;;;;;;Shekou, China;;;;;;;;;;;;Commercial Analyst ;;;;;No;;;;;;Knowledge of Microsoft Office (Word, Excel, PowerPoint) and other computer operations.$$$%%%&&&Advanced English reading and writing skills required.$$$%%%&&&Contract negotiation skills$$$%%%&&&Knowledge of SAP, Primavera P6, At Risk and Liwan Project Cost control system;;Knowledge of Microsoft Office (Word, Excel, PowerPoint) and other computer operations.$$$%%%&&&Advanced English reading and writing skills required.$$$%%%&&&Contract negotiation skills$$$%%%&&&Knowledge of SAP, Primavera P6, At Risk and Liwan Project Cost control system;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Support department managers as required in their application of project controls tools. Specifically regarding application and control of Risk, Planning and Cost management tools$$$%%%&&&Tendering, contract placement and contract administration of certain miscellaneous contracts as selected by the Commercial manager in consultation with the Contracts Manager with expected individual contract values within US$30MM$$$%%%&&&Coordinate the tender/procurement process by providing the standard terms and conditions of contracts/POs relevant to the services or goods being tendered or singled sourced and evaluating the contractual exceptions to provide assessment of the acceptability of the exceptions and the risk mitigation efforts are put in place.$$$%%%&&&Coordinate closely with the Tax and AP Group for the payment and tax terms to be understood clearly and strictly adhered to by the vendors.$$$%%%&&&Responsible to negotiate the legal contractual exceptions/qualifications raised by vendors/bidders and achieve mutually agreeable exceptions that ensures Company is protected from unnecessary and unlimited liabilities and work closely with users, Tax, AP and Risk Management team to ensure that risk mitigation efforts are in put in place and practicably implemented.$$$%%%&&&Responsible for ensuring that the contracts are extended and prices are amended, if necessary after coordination with the User, before expiry date of contract and/or full expenditure of the contract values.$$$%%%&&&Ensure contracting activities are compliant with JPC/JMC working procedures and  aligned with corporate processes and policies$$$%%%&&&Issue, receipt and control of Shekou issued formal contract correspondence related to Liwan.$$$%%%&&&Manage logistics of I.T. support to the Liwan project with the I.T. department across the various project geographical locations$$$%%%&&&Coordinate commercial department meetings
6;;;A university degree in a Technical, Engineering discipline or equivalent training and business experience;;A university degree in a Technical, Engineering discipline or equivalent training and business experience;;;;;;;; 3-Jul-12;Block 29/26 Liwan Project;;Minimum 10 years experience in tendering, strategy and execution of contracts in the Oil Gas industry$$$%%%&&&At least 5 years experience working in Heavy Oil Projects;At least 5 years experience working in Heavy Oil Projects;Minimum 10 years experience in tendering, strategy and execution of contracts in the Oil Gas industry;Experience with billion dollar owner/operator mega projects$$$%%%&&&Demonstrated experience working with design office and EPC contractors$$$%%%&&&Ability to identify justified change order requests (owner and contractor driven)$$$%%%&&&Demonstrated knowledge/experience in reaching contractual agreements that drive a win/win behaviour$$$%%%&&&World wide work experience, especially Asian/Pacific room$$$%%%&&&Wide network with service suppliers;World wide work experience, especially Asian/Pacific room$$$%%%&&&Wide network with service suppliers;Experience with billion dollar owner/operator mega projects$$$%%%&&&Demonstrated experience working with design office and EPC contractors$$$%%%&&&Ability to identify justified change order requests (owner and contractor driven)$$$%%%&&&Demonstrated knowledge/experience in reaching contractual agreements that drive a win/win behaviour;;;;;;;;;;;;;;;;;;Contracts Manager;;;Commercial & Project Services Manager;;<Click to select>;;;;;;Proven analytical skills with superior attention-to-detail$$$%%%&&&Exceptional communication skills with the ability to converse professionally and effectively with internal and external clients from all levels of an organization$$$%%%&&&Demonstrated ability to handle and respect confidential information$$$%%%&&&Strong proficiency in Microsoft Office$$$%%%&&&Experience with SAP;Strong proficiency in Microsoft Office$$$%%%&&&Experience with SAP;Proven analytical skills with superior attention-to-detail$$$%%%&&&Exceptional communication skills with the ability to converse professionally and effectively with internal and external clients from all levels of an organization$$$%%%&&&Demonstrated ability to handle and respect confidential information;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Develop contract terms and conditions that align with Husky's overall Liwan Project scope$$$%%%&&&Consult with Husky Legal and Risk departments on all commercial arrangements to ensure adherence with Husky corporate requirements$$$%%%&&&Prepare the Contract Management Plan and be responsible for ensuring its execution$$$%%%&&&Establish guidelines and processes for EPC contractors:	- Prequalification standards 	- Approve vendor list development 	- Overlook creation of invitations to vendors 	- Coordinate the receipt and analysis of vendors' submissions 	- Oversee all contract negotiations 	- Approve contract preparation and execution$$$%%%&&&Supervise all post-award contracts administration: amendments, provisions, additional approvals, etc.$$$%%%&&&Perform systematic evaluations and negotiations, if necessary, to ensure all contract terms, conditions and projections are adhered
7;;;University degree or technical diploma in a business related field;;University degree or technical diploma in a business related field;;;;;;;; 29-Jun-12;;;Oil and gas working experience is an advantage;Oil and gas working experience is an advantage;;Minimum 1 year of experience in the Customs;;Minimum 1 year of experience in the Customs;;;;;;SK Office;;;;;;;;;;Responsible to ensure that all administration process for customs and freight forwarding are prepared and completed on time with minimum to zero risk of errors so that there shall be no delays in importing / exporting the equipment.Ensure to be fully up to date with current Customs and Freight Forwarding rules and regulations globally and particularly in China.;;Customes/Freight Forwarding Administrator;;;;;No;;;;;;Excellent oral and written English$$$%%%&&&A high level of initiative, diligence, organization and thoroughness$$$%%%&&&Have strong computer, organizational, analytical and human relation skills sets;;Excellent oral and written English$$$%%%&&&A high level of initiative, diligence, organization and thoroughness$$$%%%&&&Have strong computer, organizational, analytical and human relation skills sets;Customs Freight/Forwarding Supervisor;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Responsible to manage the documentation and administration process of importation and exportation operations required with minimum or zero risk of errors to ensure a successful support to Husky China operations.$$$%%%&&&Responsible to prepare and submit the yearly importation plan to CNOOC as per CNOOC’s requirement and obtain the approval of yearly importation plan from CNOOC.$$$%%%&&&Responsible to process the documentation to obtain all approvals from local customs and/or any local authorities for importation and/or exportation of equipment.$$$%%%&&&Conversant with customs and freight forwarding rules and regulations and always be on top of any current customs and freight forwarding issues or matters to mitigate or eliminate HOCL’s customs and freight forwarding risks, liabilities and exposures.$$$%%%&&&Responsible to provide an update to the Customs/Freight Forwarding Specialist on any changes in the relevant customs and freight forwarding rules and regulations.$$$%%%&&&Responsible to prepare the documentations required to obtain approval from HOCL Management for issuing new bank guarantees or adding amounts to the existing bank guarantees for importation/exportation prior to any delivery of equipment or tools.$$$%%%&&&Responsible to ensure all importation/exportation of rigs, boats/vessels, equipments and tools are compliant with existing Customs rules and regulations applicable in China and maintain all such importation/exportation documentation.$$$%%%&&&Responsible to create and maintain complete and comprehensive customs and freight forwarding documentation filing system.$$$%%%&&&Maintain a good relationship with Customs officers and police.
8;;;University degree or technical diploma in a business related field;;University degree or technical diploma in a business related field;;;;;;;; 29-Jun-12;;;Oil and gas working experience;;Oil and gas working experience;Minimum 15 years of experience in Customs and Freight Forwarding$$$%%%&&&Knowledgeable with current Customs and Freight Forwarding rules and regulations on a worldwide basis and particularly in China;;Minimum 15 years of experience in Customs and Freight Forwarding$$$%%%&&&Knowledgeable with current Customs and Freight Forwarding rules and regulations on a worldwide basis and particularly in China;;;;;;SK Office;;;;;;;;;;;;Customs/Freight Forwarding Supervisor;;;Procurement Manager;;No;;;;;;Excellent oral and written English$$$%%%&&&Have strong computer, organizational, analytical and human relation skills sets$$$%%%&&&Supervisory and time management skills;;Excellent oral and written English$$$%%%&&&Have strong computer, organizational, analytical and human relation skills sets$$$%%%&&&Supervisory and time management skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;Responsible to manage importation and exportation, freight forwarding and CIQ operations from all over the world required to ensure a successful support to Husky China operations to prevent any unnecessary losses for Husky in revenue and operational costs.$$$%%%&&&Responsible to ensure that all customs, logistical, freight forwarding and CIQ risks and/or possible delays are mitigated at the earliest stage possible by closely cooperating with Customs officials, freight forwarders, CIQ, End Users and the contractors/ suppliers/vendors.$$$%%%&&&Responsible to prepare and submit the yearly importation plan to CNOOC as per CNOOC’s requirement and obtain the approval of yearly importation quota from CNOOC.$$$%%%&&&Responsible in obtaining all approvals from local customs and/or any local authorities regarding the importation and exportation requirements of Husky China operations for equipments imported from all over the world.$$$%%%&&&Posses the global skill and knowledge of global customs and freight forwarding procedures integrated concurrently with local customs and freight forwarding rules.$$$%%%&&&Negotiate with the customs on any and all Customs related issues.$$$%%%&&&Fully conversant with customs rules and regulations and global freight forwarding rules and regulations. Always be on top of any current customs and freight forwarding issues or matters to mitigate or eliminate HOCL’s customs and freight forwarding risks, liabilities and exposures, failure to do so will result in multibillions of dollars in revenue loss and unnecessary operational costs and legal implication towards Husky and its employees.$$$%%%&&&Responsible to provide an update to Husky China Management on any changes in the customs and freight forwarding rules and regulations and update the mitigation efforts to ensure that all customs and freight forwarding processes are handled efficiently and smoothly and fully compliant with the applicable Customs and Freight Forwarding rules and regulations.$$$%%%&&&Responsible to supervise the services performed by HOCL’s customs agents to ensure that all customs processes, permits and licenses for Husky China operations are obtained in a timely manner.$$$%%%&&&Mentor, monitor and supervise the work of the Customs/Freight Forwarding Administrator to ensure that all importation, exportation and delivery of the equipment/tools/cargoes are handled in details consistent and compliant with the applicable Customs and Freight Forwarding rules and regulations to prevent any unnecessary delays and customs risks that can expose Husky to multibillions of dollars in revenue loss and operational costs.$$$%%%&&&Maintain relationship with local and regional Customs.$$$%%%&&&Responsible to ensure sufficiency of HOCL’s bank guarantee amounts for importation/exportation by updating on a regular basis and proceeding with the process of getting all necessary approvals from Husky Senior Management whether to issue new bank guarantees or add amounts to the existing bank guarantees for importation/exportation prior to any delivery of equipment or tools.$$$%%%&&&Work closely with Liwan Project on the importation of the trees, umbilicals and other equipments, tools and materials and provide all support and knowledge to ensure that all the equipments are delivered as per the schedule agreed with no delay and fully compliant with all customs and freight forwarding rules and regulations on a local and worldwide basis to prevent multibillions of dollars in revenue loss and unnecessary operational cost.$$$%%%&&&Responsible to ensure that contractors/suppliers/vendors submit a well planned delivery schedule of the equipments to meet the operations needs and schedule.$$$%%%&&&Responsible to supervise the services performed by HOCL’s freight forwarding agents to ensure that all freight forwarding processes, permits and licenses for Husky China operations are obtained in a timely manner.$$$%%%&&&Maintain relationship with local and regional Customs and CIQ officers relevant to freight forwarding operations.$$$%%%&&&Responsible to ensure all importation/exportation of equipments and tools are compliant with existing Customs rules and regulations applicable in China and maintain all such importation/exportation documentation.$$$%%%&&&Shall assist Procurement Manager as the focal team member on any customs audits.$$$%%%&&&Deputize as necessary for Procurement Manager for Customs and Freight Forwarding matters.
9;;;;;;;;;;;;; 29-Jun-12;Drilling & Completions;;;;;;;;;;;;;SK Office;;;;;;;;;;"Liaise directly with other departments’ staff on a regular basis; Provide administrative/secretarial support to D&C team;Ensure the implementation of PR input in MM Module;Ensure alignment with Husky’s policies and standards.";;Drilling & Completions Assistant;;;;;No;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;"Review, compile and co-ordinate all reports and programs and arrange distribution to all necessary parties$$$%%%&&&Upload Drilling daily reports on Husky server, Petrolink and send to contractors$$$%%%&&&Set up and maintain a workable filing system for applicable drilling reports and contracts as advised by Manager/Supervisor.$$$%%%&&&Assist to promote the MM system and ensure the implementation of SAP and PR input for D&C team.$$$%%%&&&Liaise with Procurement and Commercial department to set up material master number and vendor data; track PR/PO status to ensure timely purchasing for all drilling materials.$$$%%%&&&Provide administrative support/make travel arrangement to Operations Manager, D&C team and all consultants$$$%%%&&&Provide support in the form of Visa issues, securing accommodation and transportation for expatriates associated with operations schedule$$$%%%&&&Assist Superintendent/Drilling Engineer to prepare reports as required$$$%%%&&&Maintain meaningful communication with inter-company departments and service providers$$$%%%&&&Liaise with service providers that support HOCL drilling on administration issues$$$%%%&&&Ensure compliance with company’s HSE regulations and policies; support and participate safety trainings, drill/exercises$$$%%%&&&Ensure compliance of local laws and regulations in Husky’s offices in China"
