; Extreme heat/cold:;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Fire protective gear:;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Rotating equipment:;Safety-Sensitive:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
0;;;High school diploma, secretarial diploma, or equivalent training and business experience.;;High school diploma, secretarial diploma, or equivalent training and business experience.;;;;;;;; 27-Jun-12;Process & Occupational Safety;;Husky Energy experience would be an asset.;Husky Energy experience would be an asset.;;Minimum of 8 years' progressive administrative/secretarial experience, preferably in the petroleum industry.;;Minimum of 8 years' progressive administrative/secretarial experience, preferably in the petroleum industry.;;;;;;;Calgary;;;;;;;;;;This position will provide direct professional administrative support to the Vice President, Process & Occupational Safety and assists with a variety of duties related to planning, developing and coordinating activities within the Process & oCcupational Safety as well as special projects.;;Administrative Assistant;;;Vice President, Process & Occupational Safety;;No;;;;;;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines.$$$%%%&&&Excellent proof reading and business writing skills.$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) is required.;;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines.$$$%%%&&&Excellent proof reading and business writing skills.$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) is required.;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Liaising with all levels of management to proactively deal with changing priorities and inquiries.$$$%%%&&&Preparing general correspondence, reports and completing specific research.$$$%%%&&&Coordinating new hires, employee changes, office moves, etc. through iManager and iRequest$$$%%%&&&Independently handling all general office administration tasks such as organizing meetings, reconciliation of Selling, General & Administration (SG&A) expenditures and Authorization for Expenditure (AFE) accounts, coordinating travel arrangements, scheduling appointments and maintaining files.$$$%%%&&&Developing appropriate graphs, spreadsheets or presentation materials to assist in effective reporting within the department, to Senior Management and to the Executive Management Team.$$$%%%&&&Establishing and performing routine office functions independently such as typing, photocopying, faxing, correspondence filing, ordering and maintaining department stationery supplies.$$$%%%&&&Liaising with Vice-Presidents, Managers, and departmental staff to request, gather and summarize information.$$$%%%&&&Coordinating with Human Resources on workforce management and other initiatives for the department.
1;;;A Bachelor's degree in Business, Commerce, or Computer Science, or equivalent training and experience will be considered;;A Bachelor's degree in Business, Commerce, or Computer Science, or equivalent training and experience will be considered;A Business Analyst Certificate (i.e. IIBA, CBAP) would be an asset;A Business Analyst Certificate (i.e. IIBA, CBAP) would be an asset;;;;;; 27-Jun-12;Process & Occupational Safety;;A minimum 5 years experience working in the oil and gas industry;;A minimum 5 years experience working in the oil and gas industry;A minimum 3 year's experience working in a business analyst role$$$%%%&&&Experience working in a Health, Safety, Environment and/or Emergency Response role would be considered an asset;Experience working in a Health, Safety, Environment and/or Emergency Response role would be considered an asset;A minimum 3 year's experience working in a business analyst role;;;;;;;Calgary;;;;;;;;;;In this role, you will review and/or implement improved business processes and provide technical solutions to support the business activities for the HS&ER department. ;;Business Analyst;;;;;<Click to select>;;;;;;Strong knowledge of MS Project, MS Visio, MS Excel, MS Access, SQL*Plus$$$%%%&&&Experience with Health Safety Environment and Emergency Response software solutions is an asset$$$%%%&&&Strong inter-personal and indirect influencing skills with a demonstrated ability to gain the confidence of individuals at various organizational levels$$$%%%&&&Excellent facilitation, verbal/written communication and presentation skills;Experience with Health Safety Environment and Emergency Response software solutions is an asset;Strong knowledge of MS Project, MS Visio, MS Excel, MS Access, SQL*Plus$$$%%%&&&Strong inter-personal and indirect influencing skills with a demonstrated ability to gain the confidence of individuals at various organizational levels$$$%%%&&&Excellent facilitation, verbal/written communication and presentation skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Provide guidance to end users/administrators for Incident Management, Industrial Hygiene, Emergency Response, Audits, In Vehicle Monitoring, Ground Disturbance and other functional areas$$$%%%&&&Perform the following project activities as required:	- Maintain the overall vision of the completed solution 	- Provide business analysis, by helping define the business and its data requirements 	- Lead and/or participate in current and future state design workshops to design streamlined, 	effective business processes and procedures 	- Identify and evaluate technical solutions to meet the business requirements 	- Develop Delivery Strategy and Approach, specifically for data conversion, training, testing, 	implementation, hardware and software, post go-live support and transition plan to business 	and IT 	- Develop and deliver training plan and content 	- Ensure Corporate Document Management policies are implemented 	- Project participation, including preparation of the project documentation, assembly and 	inspiration of a project team and delivery of the project objectives 	- Participate on the Steering Committee(s) 	- Represent HS&ER system requirements during major acquisitions, mergers or divestitures$$$%%%&&&Assist with ongoing regulatory changes that require changes to business processes, roles/responsibilities and/or business applications$$$%%%&&&Assist with the preparation of annual HS&ER Business Systems Budget$$$%%%&&&Liaise with the other Husky groups to ensure HS&ER interests are represented and addressed during corporate initiatives (groups include: Information Technology Management (ITM), Document Management, Exploration and Production Services (E&PS), software vendors and other service providers)$$$%%%&&&Provide business analyst support to other Husky offices (Lloydminster, St. John's, Lima, etc.)$$$%%%&&&Identify minor business process improvement opportunities to reduce work and improve efficiencies of data gathering, electronic reporting and analysis
2;;;;;;OH&S Certification$$$%%%&&&Certified Auditor - ENFORM, DNV and others;;OH&S Certification$$$%%%&&&Certified Auditor - ENFORM, DNV and others;;;;; 27-Jun-12;Process & Occupational Safety;;;;;Minimum of 5 - 10 years safety experience;;Minimum of 5 - 10 years safety experience;;;;;;;;;;;;;;;;;;;HOIMS Advisor;;;;;<Click to select>;;;;;;Risk Based Process Safety Management certification/skills$$$%%%&&&Superior interperonsal, communication and report writing skills$$$%%%&&&Strong analytical, problem solving and project management skills;;Risk Based Process Safety Management certification/skills$$$%%%&&&Superior interperonsal, communication and report writing skills$$$%%%&&&Strong analytical, problem solving and project management skills;;;;Frequently;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Coach and mentor area management and area employees on HOIMS implementation, compliance to standards and continuous improvement activities.$$$%%%&&&Continuously refine and update HOIMS audit framework and process to meet regulatory and industry requirements.$$$%%%&&&Liaise with Corporate Asset Integrity group, Internal Audit group and other corporate audit groups to facilitate consistent audit methodology.$$$%%%&&&Monitor and analyze corporate audit action item tracking tool for trends. Recommend measures and or corrective actions and develop implementation plans.$$$%%%&&&Coach and mentor area H&S advisors and area HOIMS specialists/technicians in developing local inspection and audit protocols.$$$%%%&&&Participate in regular HOIMS conferences on sharing HOIMS practices and procedures.$$$%%%&&&Develop a formalized HOIMS audit framework and process. Develop HOIMS audit schedule and coordinate audit activities.$$$%%%&&&Lead, at minimum, two (2) HOIMS audits annually.$$$%%%&&&Provide training and orientation on HOIMS audit process to audit teams.$$$%%%&&&Facilitate development of audit action plans with area management team based on audit results.
3;;;;;;;;;;;;; 27-Jun-12;Health & Safety;;;;;;;;;;;;;;;;;;;;;;;;;;Manager, Process & Occupational Safety;;;Vice President, Process & Occupational Safety;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
4;;;;;;;;;;;;; 27-Jun-12;Process & Occupational Safety;;;;;;;;;;;;;;;;;;;;;;;;;;Operations Integrity Change Coordinator;;;;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
5;;;;;;;;;;;;; 27-Jun-12;Process & Occupational Safety;;;;;;;;;;;;;;;;;;;;;;;;;;Project Manager;;;;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
6;;;An undergraduate degree in engineering or other technical degree.$$$%%%&&&A graduate degree in engineering or business.;A graduate degree in engineering or business.;An undergraduate degree in engineering or other technical degree.;Certifications:  P.Eng or Senior Operations equivalent experience;;Certifications:  P.Eng or Senior Operations equivalent experience;;;;; 21-Jun-12;Safety, Engineering & Procurement;;A background in oil and gas industry operations is imperative in order to understand the nature of work within an integrated oil and gas company like Husky.$$$%%%&&&Strong credibility with industry peers with a passion for safety and operations integrity.;;A background in oil and gas industry operations is imperative in order to understand the nature of work within an integrated oil and gas company like Husky.$$$%%%&&&Strong credibility with industry peers with a passion for safety and operations integrity.;20+ years O&G experience preferably a seasoned operations executive with a track record of strong delivery in terms of safety delivery and business performance.$$$%%%&&&Familiarity with the delivery of a safe work environment in the O&G sector as well as the requirements of regulators and other stakeholders.;;20+ years O&G experience preferably a seasoned operations executive with a track record of strong delivery in terms of safety delivery and business performance.$$$%%%&&&Familiarity with the delivery of a safe work environment in the O&G sector as well as the requirements of regulators and other stakeholders.;;;;;;;Calgary;;;;;;;;;;This senior level position is responsible for ensuring an industry and company-specific framework to address compliance to regulatory standards and statutes for all aspects of Safety specific to the operations of a fully integrated oil and gas company. In addition to ensuring that frameworks and procedures have been established, this role ensures the appropriate monitoring of all facets of Safety activities in relation to established company policies, practices and standards. This position will challenge and advise the CEO, COO and senior leadership team in Safety matters, to create and inspire a safety and process safety management culture focused on continuous improvement across the organization, including occupational health and safety, process safety and Husky’s Operational Integrity Management system ( HOIMS).The Vice President of Safety will also play a key interface role  with the HSE Committee of the Board of Director’s by attending HSE Board Committee meetings and briefing the committee on the status of Husky’s HSE performance and implementation programs.   All Husky Safety employees will report directly to this position while maintaining a dotted line reporting relationship with their assigned client business units.;;Vice President, Process & Occupational Safety;;;Senior Vice President, Safety, Engineering & Procurement;;No;;;;;;Very strong written and oral communications skills, conveying a passion for Process and Occupational Safety.$$$%%%&&&Effective collaboration with Sr. Management and the Board of Directors to front line staff.$$$%%%&&&Critical problem solving and project management skills to deliver on commitments to Process and Occupational safety demands.$$$%%%&&&Ability to operate effectively in high pressure situations such as major incidents.$$$%%%&&&Forward thinker anticipating new challenges and developing appropriate responses before issues become critical.;;Very strong written and oral communications skills, conveying a passion for Process and Occupational Safety.$$$%%%&&&Effective collaboration with Sr. Management and the Board of Directors to front line staff.$$$%%%&&&Critical problem solving and project management skills to deliver on commitments to Process and Occupational safety demands.$$$%%%&&&Ability to operate effectively in high pressure situations such as major incidents.$$$%%%&&&Forward thinker anticipating new challenges and developing appropriate responses before issues become critical.;98;;;Occasionally;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Executive ;"Leads Process and Occupational Safety for Husky.  Responsible for the continuous development of policies, practices and procedures and for ensuring these are effectively implemented in the organization.  Ultimately responsible for having an effective workplace safety program and culture in place, building on Husky's Operational Integrity Management Systems and ensuring it guides operations in how all operations are conducted.$$$%%%&&&Provide regular updates to the HSE Committee of the Board of regarding the status of Husky’s HSE performance and programs.$$$%%%&&&Attend the Senior Management Meeting (SMG), the Upstream Leadership Team (ULT) meeting as well as Downstream Senior Management meetings to brief company leadership on all matters pertaining to the delivery of safety programs and services to the corporation.$$$%%%&&&Responsible to act as a corporate point person on Process and Occupational Safety and  to represent Husky as the spokesperson with respect to Safety, engaging all levels of employees from the front line to the Board of the Corporation to deliver on the Process  and Occupational Safety action plans.$$$%%%&&&Ensures compliance with Safety regulations and company policy and procedures through a series of operational metrics and reporting requirements.$$$%%%&&&Responsible to develop a zero harm working environment and culture. Facilitates the management of all Safety risks associated with any aspect of Husky’s various operations ‘beyond simple compliance’ by providing strategic direction and mentoring/coaching to  staff and consultants/contractors, as well as providing collaborative  ‘oversight’ and training to Safety staff network co-located within all of the company’s operations.$$$%%%&&&Assesses emerging Safety issues to determine their potential impact on Husky’s various operations by regularly reviewing new legislation or regulations derived from governmental policy initiatives at both the Provincial and Federal levels; reports significant changes or incidences to the Husky Board of Directors and Safety Committee of the Board (i.e. HSE risk management).$$$%%%&&&Undertakes regular Safety audits to present up-to-date findings to line management, senior management and the Board to ensure that actions are taken to prevent incidences or to appropriately address issues that may have occurred in various part of Husky’s operations.$$$%%%&&&Champions HOIMS and process Safety management to ensure it becomes institutionalized in the business, accelerating HOIMS implementation while balancing performance related to the management of risk. Works in collaboration with the corporate environmental group to lead the development of Husky’s HSE standards, processes and governance programs. Champions HOIMS and process Safety management to ensure it becomes institutionalized in the business, accelerating HOIMS implementation while balancing performance related to the management of risk. Works in collaboration with the corporate environmental group to lead the development of Husky’s HSE standards, processes and governance programs.$$$%%%&&&Works in collaboration with Supply Chain Management to provide assurance and expectations for third party contractor HSE and Operations integrity Programs; works to ensure that all bid and contract documents reflect Husky’s HSE and Operations Integrity requirements.$$$%%%&&&Recruits, develops and retains safety professionals to build an effective Safety organization that will consistently deliver top quartile performance."
7;;;;;;;;;;;;; 27-Jun-12;HOIMS Corporate Incident Stewards;;;;;;;;;;;;;;;;;;;;;;;;;;Senior HOIMS Incident Steward;;;;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
8;;;A Bachelor's degree in Business, Commerce, or Computer Science, or equivalent training and experience will be considered;;A Bachelor's degree in Business, Commerce, or Computer Science, or equivalent training and experience will be considered;A Business Analyst Certificate (i.e. IIBA, CBAP) would be an asset;A Business Analyst Certificate (i.e. IIBA, CBAP) would be an asset;;;;;; 21-Jun-12;HS&E - Health & Safety;;A minimum 5 years experience working in the oil and gas industry;;A minimum 5 years experience working in the oil and gas industry;A minimum 3 year's experience working in a business analyst role$$$%%%&&&Experience working in a Health, Safety, Environment and/or Emergency Response role would be considered an asset;Experience working in a Health, Safety, Environment and/or Emergency Response role would be considered an asset;A minimum 3 year's experience working in a business analyst role;;;;;;;Calgary;;;;;;;;;;In this role, you will review and/or implement improved business processes and provide technical solutions to support the business activities for the HS&ER department. ;;Business Analyst;;;;;<Click to select>;;;;;;Strong knowledge of MS Project, MS Visio, MS Excel, MS Access, SQL*Plus$$$%%%&&&Experience with Health Safety Environment and Emergency Response software solutions is an asset$$$%%%&&&Strong inter-personal and indirect influencing skills with a demonstrated ability to gain the confidence of individuals at various organizational levels$$$%%%&&&Excellent facilitation, verbal/written communication and presentation skills;Experience with Health Safety Environment and Emergency Response software solutions is an asset;Strong knowledge of MS Project, MS Visio, MS Excel, MS Access, SQL*Plus$$$%%%&&&Strong inter-personal and indirect influencing skills with a demonstrated ability to gain the confidence of individuals at various organizational levels$$$%%%&&&Excellent facilitation, verbal/written communication and presentation skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Provide guidance to end users/administrators for Incident Management, Industrial Hygiene, Emergency Response, Audits, In Vehicle Monitoring, Ground Disturbance and other functional areas$$$%%%&&&Perform the following project activities as required:	- Maintain the overall vision of the completed solution 	- Provide business analysis, by helping define the business and its data requirements 	- Lead and/or participate in current and future state design workshops to design streamlined, 	effective business processes and procedures 	- Identify and evaluate technical solutions to meet the business requirements 	- Develop Delivery Strategy and Approach, specifically for data conversion, training, testing, 	implementation, hardware and software, post go-live support and transition plan to business 	and IT 	- Develop and deliver training plan and content 	- Ensure Corporate Document Management policies are implemented 	- Project participation, including preparation of the project documentation, assembly and 	inspiration of a project team and delivery of the project objectives 	- Participate on the Steering Committee(s) 	- Represent HS&ER system requirements during major acquisitions, mergers or divestitures$$$%%%&&&Assist with ongoing regulatory changes that require changes to business processes, roles/responsibilities and/or business applications$$$%%%&&&Assist with the preparation of annual HS&ER Business Systems Budget$$$%%%&&&Liaise with the other Husky groups to ensure HS&ER interests are represented and addressed during corporate initiatives (groups include: Information Technology Management (ITM), Document Management, Exploration and Production Services (E&PS), software vendors and other service providers)$$$%%%&&&Provide business analyst support to other Husky offices (Lloydminster, St. John's, Lima, etc.)$$$%%%&&&Identify minor business process improvement opportunities to reduce work and improve efficiencies of data gathering, electronic reporting and analysis
9;;;;;;Canadian Safety Advisor or equivalent certification$$$%%%&&&Registered Safety Professional (CRSP) designation or a related post-secondary certificate$$$%%%&&&Valid H2S and First Aid certifications;Registered Safety Professional (CRSP) designation or a related post-secondary certificate;Canadian Safety Advisor or equivalent certification$$$%%%&&&Valid H2S and First Aid certifications;;;;; 27-Jun-12;Health & Safety;;A minimum of 10 years' experience as a safety advisor in the oil and gas $$$%%%&&&Knowledge of oil and gas operations;Knowledge of oil and gas operations;A minimum of 10 years' experience as a safety advisor in the oil and gas ;A solid understanding of occupational health and safety legislation in the province of Alberta;;A solid understanding of occupational health and safety legislation in the province of Alberta;;;;;;;;;;;;;;;;;;;Health & Safety Advisor;;;;;<Click to select>;;;;;;Experience with Root Cause Analysis, Incident Investigations and behaviour-based safety programs$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership$$$%%%&&&Excellent communication, interpersonal, team and organizational skills and strong computer skills;Modern Safety Management and Practical Loss Control Leadership;Experience with Root Cause Analysis, Incident Investigations and behaviour-based safety programs$$$%%%&&&Excellent communication, interpersonal, team and organizational skills and strong computer skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;Manage and maintain the Upstream Environment (UEO/R&R) Safety Program in alignment with Corporate Policy and Standards, including development of Groups (site-specific) procedures.$$$%%%&&&Liaise and communicate regularly with both Corporate and Departmental Safety Advisors.$$$%%%&&&Provide HS expertise to UEO and R&R site supervisors, project managers/coordinators and contractors$$$%%%&&&Ensure Emergency Response drills are conducted on a routine basis$$$%%%&&&Review contractor procedures and processes to ensure compliance to Husky requirements as well as Provincial Legislation. Actions must be assigned in the event the findings do not meet the requirements$$$%%%&&&Ensure Hazard Assessments are completed for the full scope of work$$$%%%&&&Enter and review Hazard ID's, near misses and incidents into Omnisafe (Husky's incident management application)$$$%%%&&&Ensure the Safety Management Plan is completed accurately including the Emergency Response Plan$$$%%%&&&Guide Field Safety Advisor/Auditor in incident investigations for all actual or potential incidents and participate, as required.$$$%%%&&&Support Field Safety Advisor in H&S project kick-off meetings and ensure all requirements are completed$$$%%%&&&Prepare monthly H&S Reports for UEO and R&R groups, and participate in monthly meetings$$$%%%&&&Support Field Safety Advisor in HS contractor audits and participate, as required, and in implementing, documenting, and facilitating HS orientations or training$$$%%%&&&Monitor trends and provide feedback (i.e. lessons learned, areas of improvement) to site supervisors, contractors, project managers and Field Safety Advisor$$$%%%&&&Assist the UEO/R&R site supervisors in planning critical work components
