;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CP;ER;EI;TS
0; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Manager, Human Resources, Business Partners;Vice President, Human Resources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
1; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Manager, Human Resources Talent Management & Diversity;Vice President, Human Resources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
2; 6-Nov-12;Shared Services & Technical Support;Calgary, AB;Manager, Shared Services & Technical Support;Vice President, Human Resources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
3; 8-Nov-12;Total Rewards;Calgary, AB;Manager, Total Rewards;Vice President, Human Resources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
4; 8-Nov-12;Total Rewards;Calgary, AB;Senior Administrative Assistant;Vice President, Human Resources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
5; 8-Nov-12;Total Rewards;Calgary, AB;Vice President, Human Resources;Senior Vice President, Human & Corporate Resources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
6; 8-Nov-12;Total Rewards;Calgary, AB;Human Resources Administrator, Total Rewards;Team Lead, Health, Benefits & Retirement;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
7; 8-Nov-12;Total Rewards;Calgary, AB;Human Resources Advisor, Compensation;Team Lead, Compensation;No;;;Participation in domestic and global market surveys, including analysis, reporting and program recommendations$$$%%%&&&Provide ongoing consultation and subject-matter expertise to HR Business Partners, including compensation related policies, programs, practices and administration$$$%%%&&&Participate in the company-wide annual compensation review including the development of the compensation review planning calendar, training material, liaising with HRIS on technical issues, providing troubleshooting support and advice to HR Business Partners throughout the planning cycle, testing planned system/tool enhancements and identifying system/process improvements for future years$$$%%%&&&Represent Husky in industry peer groups and continually monitor external competitive practices and benchmarks through independent research and networking with peers$$$%%%&&&Participate in specific compensation projects and initiatives as required. These will vary in size, scope and duration and may be individual or team based$$$%%%&&&Demonstrate leadership within the Compensation Team to continually improve compensation processes$$$%%%&&&Utilizing SAP and other sources of information to extract, analyze and report on internal compensation trends, as well as pursue opportunities for system/process improvements$$$%%%&&&Participate in the development of expatriate and global compensation processes$$$%%%&&&Development of communication materials to enhance the awareness and understanding of compensation initiatives with HR Business Partners and Line Leaders;Post secondary degree in Business or equivalent;World at Work Canadian Compensation Professional (CCP) or CHRP would be considered an asset;8+ years experience in human resources with a minimum of 4 years direct compensation experience.$$$%%%&&&Experience in HR Generalist Role would be considered an asset$$$%%%&&&Experience in interpretation and statistical analysis of market data$$$%%%&&&Experience with benchmarking and job evaluation methodologies and processes would be considered an asset;Prior experience in the Oil and Gas industry would be considered an asset;Highly skilled with Excel and other MS Office programs$$$%%%&&&Experience with HR SAP or similar employee database applications$$$%%%&&&High level of discretion in dealing with highly confidential and sensitive information$$$%%%&&&Excellent analytical and problem solving skills$$$%%%&&&Organized, self starter, attention to detail, can work independently in a time sensitive environment.$$$%%%&&&Ability to plan, schedule and deliver both long and short term projects with consideration to stakeholders and adherence to strict deadlines
8; 8-Nov-12;Total Rewards;Calgary, AB;Senior Human Resources Advisor, Compensation;Team Lead, Compensation;No;;;Participation in domestic and global market surveys, including analysis, reporting and program recommendations.$$$%%%&&&Provide ongoing consultation and subject-matter expertise to HR Business Partners, including compensation related policies, programs, practices and administration.$$$%%%&&&Lead the company-wide annual compensation review including the development of the compensation review planning calendar, training material, liaising with HRIS on technical issues, providing troubleshooting support and advice to HR Business Partners throughout the planning cycle, testing planned system/tool enhancements and identifying system/process improvements for future years.$$$%%%&&&Represent Husky in industry peer groups and continually monitor external competitive practices and benchmarks through independent research and networking with peers. This includes OGIG and Wood Buffalo industry groups.$$$%%%&&&Lead specific compensation projects and initiatives as required. These will vary in size, scope and duration and may be individual or team based.$$$%%%&&&Demonstrate leadership within the Compensation Team to continually improve compensation processes.$$$%%%&&&Utilizing SAP and other sources of information to extract, analyze and report on internal compensation trends, as well as pursue opportunities for system/process improvements.$$$%%%&&&Provide coaching and mentoring to junior Compensation Analysts.$$$%%%&&&Play an active role the development of expatriate and global compensation processes.$$$%%%&&&Development of communication materials to enhance the awareness and understanding of compensation initiatives with HR Business Partners and Line Leaders.;Post secondary degree in Business.;World at Work Canadian Compensation Professional (CCP)$$$%%%&&&Completed CHRP;Minimum of 5 years direct compensation experience.$$$%%%&&&Experience in interpretation and statistical analysis of market data$$$%%%&&&Minimum 5 years experience in HR demonstrating the ability to deal with confidential material in a manner demonstrating sound judgment.;Minimum of 3 years Oil and Gas experience;Highly skilled with Excel and other MS Office programs$$$%%%&&&Experience with HR SAP or similar employee database applications$$$%%%&&&High level of discretion in dealing with highly confidential and sensitive information.$$$%%%&&&Excellent analytical and problem solving skills$$$%%%&&&Organized, self starter, attention to detail, can work independently in a time sensitive environment.$$$%%%&&&Ability to plan, schedule and deliver both long and short term projects with consideration to stakeholders and adherence to strict deadlines
9; 8-Nov-12;Total Rewards;Calgary, AB;Team Lead, Compensation;Manager, Total Rewards;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
