;id;cluster;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CA_REQD;CA_ASSET;CP;CP_REQD;CP_ASSET;ER;ER_REQD;ER_ASSET;EI;EI_REQD;EI_ASSET;TS;TS_REQD;TS_ASSET;competencies;competency_group;Bending/Crouching:;Climbing:;Driving:;Keyboarding:;Kneeling/Crawling:;On-call:;Operating equipment:;Sedentary/Sitting:;Shift work:;Travel:;Walking:;Manual tools:;Office equipment:;Pneumatic tools:;Power tools:;Shop tools:;Tool belt worn:;Vibration tools:;Welding:; Extreme heat/cold:;Chemicals:;Confined spaces:;Heights:;Moving equipment:;Night time:;Noise:;Outdoors:;Rotating equipment:;Toxic gases:;Uneven surfaces:;Wet or damp:;Light 11-20 pounds:;Medium 21-50 pounds:;Sedentary 0-10 pounds:;Carrying:;Lifting:;Pushing/pulling:;Standing:
0;0;35; 8-Nov-12;Corporate Services;Calgary, AB;Executive Assistant;Senior Vice President, Human & Corporate Services;No;;;Liaising with all levels of management to proactively deal with changing priorities and inquiries.$$$%%%&&&Preparing general correspondence, reports and completing specific research.$$$%%%&&&Coordinating new hires, employee changes, office moves, etc. through iManager and iRequest$$$%%%&&&Independently handling all general office administration tasks such as organizing meetings, reconciliation of Selling, General & Administration (SG&A) expenditures and Authorization for Expenditure (AFE) accounts, coordinating travel arrangements, scheduling appointments and maintaining files.$$$%%%&&&Developing appropriate graphs, spreadsheets or presentation materials to assist in effective reporting within the department, to Senior Management and to the Executive Management Team.$$$%%%&&&Establishing and performing routine office functions independently such as typing, photocopying, faxing, correspondence filing, ordering and maintaining department stationery supplies.$$$%%%&&&Liaising with Vice-Presidents, Managers, and departmental staff to request, gather and summarize information.$$$%%%&&&Coordinating with Human Resources on workforce management and other initiatives for the department.$$$%%%&&&Supporting special activities dealing with the Board of Directors, Board Committee meetings and Annual General meeting.$$$%%%&&&Coordinating with Legal Department on the travel logistics of the annual Hong Kong Board of Directors trip.$$$%%%&&&Supervising Executive receptionist in daily duties.;High school diploma, secretarial diploma, or equivalent training and business experience.;High school diploma, secretarial diploma, or equivalent training and business experience.;;;;;;;;Minimum of 8 years' progressive administrative/secretarial experience, preferably in the petroleum industry.$$$%%%&&&Husky Energy experience would be an asset.;Minimum of 8 years' progressive administrative/secretarial experience, preferably in the petroleum industry.;Husky Energy experience would be an asset.;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines.$$$%%%&&&Ability to communicate with all levels of the company and external contacts.$$$%%%&&&Excellent proof reading and business writing skills.$$$%%%&&&Displaying tact and good judgment in resolving problems and answering inquiries.$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities.$$$%%%&&&A high degree of initiative and self-motivation.$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) is required.;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines.$$$%%%&&&Ability to communicate with all levels of the company and external contacts.$$$%%%&&&Excellent proof reading and business writing skills.$$$%%%&&&Displaying tact and good judgment in resolving problems and answering inquiries.$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities.$$$%%%&&&A high degree of initiative and self-motivation.$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) is required.;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;41; 8-Nov-12;Corporate Services;Calgary, AB;Senior Vice President, Human & Corporate Services;President & Chief Executive Officer;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Executive ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;27; 31-Jul-12;Corporate Responsibility - HS&E;Calgary, AB;Business Analyst;Vice President, Corporate Responsibility;No;;In this role, you will review and/or implement improved business processes and provide technical solutions to support the business activities for the HS&E department. Your role will be project-specific.;Provide business analysis, by helping define the business and its data requirements$$$%%%&&&Lead and/or participate in current and future state design workshops to design streamlined, effective business processes and procedures$$$%%%&&&Identify and evaluate technical solutions to meet the business requirements$$$%%%&&&Develop Delivery Strategy and Approach, specifically for data conversion, training, testing, implementation, hardware and software, post go-live support and transition plan to business and IT$$$%%%&&&Develop training plan and content$$$%%%&&&Ensure Corporate Document Management policies are implemented$$$%%%&&&Project participation, including preparation of the project documentation, assembly and inspiration of a project team and delivery of the project objectives$$$%%%&&&Participate on the Steering Committee$$$%%%&&&Maintain the overall vision of the completed solution$$$%%%&&&Represent HSE system requirements during major acquisitions, mergers or divestitures$$$%%%&&&Assist with ongoing regulatory changes that require changes to business processes, roles/responsibilities and/or business applications$$$%%%&&&Assist with the preparation of annual HSE Business Systems Budget$$$%%%&&&Liaise with the other Husky groups to ensure HSE interests are represented and addressed during corporate initiatives (groups include: Information Technology Management (ITM), Document Management, Exploration and Production Services (E&PS), software vendors and other service providers)$$$%%%&&&Provide business analyst support to other Husky offices (Lloydminster, St Johns, Lima, etc.)$$$%%%&&&Provide guidance to end users/administrators for SiteView, Omnisafe, opsInfo and other HSE systems$$$%%%&&&Identify minor business process improvement opportunities to reduce work and improve efficiencies of data gathering, electronic reporting and analysis;A Bachelor's degree in Business, Commerce, or Computer Science, or equivalent training and experience will be considered;A Bachelor's degree in Business, Commerce, or Computer Science, or equivalent training and experience will be considered;;A Business Analyst Certificate (i.e. IIBA, CBAP);;A Business Analyst Certificate (i.e. IIBA, CBAP);A minimum 5 year's experience working in a business analyst role$$$%%%&&&Experience working in a Health, Safety, Environment and/or Emergency Response role;A minimum 5 year's experience working in a business analyst role;Experience working in a Health, Safety, Environment and/or Emergency Response role;A minimum 10 years experience working in the oil and gas industry;A minimum 10 years experience working in the oil and gas industry;;Strong knowledge of MS Project, MS Visio, MS Excel, MS Access, SQL*Plus$$$%%%&&&Experience with Health Safety Environment and Emergency Response software solutions$$$%%%&&&Strong inter-personal and indirect influencing skills with a demonstrated ability to gain the confidence of individuals at various organizational levels$$$%%%&&&Excellent facilitation, verbal/written communication and presentation skills$$$%%%&&&Ability to work efficiently under pressure to meet deadlines and multiple demands$$$%%%&&&Superior organizational skills;Strong knowledge of MS Project, MS Visio, MS Excel, MS Access, SQL*Plus$$$%%%&&&Strong inter-personal and indirect influencing skills with a demonstrated ability to gain the confidence of individuals at various organizational levels$$$%%%&&&Excellent facilitation, verbal/written communication and presentation skills$$$%%%&&&Ability to work efficiently under pressure to meet deadlines and multiple demands$$$%%%&&&Superior organizational skills;Experience with Health Safety Environment and Emergency Response software solutions;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;49; 26-Jul-12;Corporate Responsibility - Environmental Policy & Strategic Initiatives;Calgary, AB;Emmisions Conservation Engineer;Environmental Engineering Specialist;No;;The Emissions Conservation Engineer will identify emission reduction opportunities, focusing initially on greenhouse gas emissions. In this role you will coordinate corporate activities to reduce air emissions, track and trade avoided emissions, and generate credits. You will assist in the estimation of facility air emissions.;Identify and coordinate emission and energy reduction projects across the corporation$$$%%%&&&Track the implementation of projects, costs, and benefits including avoided air emissions$$$%%%&&&Identify government funding opportunities, and write funding proposals$$$%%%&&&Develop GHG offset protocols and projects$$$%%%&&&Participate in the establishment of air emission forecasts, and air emission reduction targets$$$%%%&&&Provide support for facility air emission estimation;A Bachelor's Degree in Engineering is preferred;;A Bachelor's Degree in Engineering is preferred;P.Eng designation;P.Eng designation;;Energy conservation experience$$$%%%&&&Regulatory reporting experience;;Energy conservation experience$$$%%%&&&Regulatory reporting experience;Minimum 5 years' of Oil and Gas industry engineering and/or operations experience;Minimum 5 years' of Oil and Gas industry engineering and/or operations experience;;Strong computer skills with proficiency using Microsoft Excel$$$%%%&&&Familiarity with Production Accounting systems, Oracle, Microsoft Access and IHS opsINFO$$$%%%&&&Ability to work with and organize multi-disciplinary teams;Strong computer skills with proficiency using Microsoft Excel$$$%%%&&&Ability to work with and organize multi-disciplinary teams;Familiarity with Production Accounting systems, Oracle, Microsoft Access and IHS opsINFO;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;9; 26-Jul-12;Corporate responsibility - Environmental Policy & Strategic Initiatives;Calgary, AB;Environmental Engineering Specialist;Environmental Engineering Specialist;No;;In this role, you will be responsible for executing audits to regularly examine systems in place, physical conditions within an organization’s facilities, processes, tools and equipment to minimize liability associated with hazardous conditions and practices. You will also ensure sound engineering practice is followed, enforce corporate policy, and ensure regulatory compliance.;Conduct Environmental Management System (EMS) and Operation Integrity audits on all operations and business units.$$$%%%&&&Analyze trends and track environmental performance to form the basis of improvement strategies for future audits.$$$%%%&&&Prepare reports to executive management on environmental liability reduction.$$$%%%&&&Advise on federal, provincial and municipal environmental regulations, industry practice and permit compliance.$$$%%%&&&Drive improvement programs, complete with working groups, to tackle issues.$$$%%%&&&Undertake Special Interest Audits where efforts would be stepped, resource dependent and respond to business needs.$$$%%%&&&Analyze audit results, present recommendations and monitor progress.$$$%%%&&&Communicate and disseminate audit information at every level from management to operations.$$$%%%&&&Keep abreast of regulatory changes.$$$%%%&&&Work with a vendor to implement a database of audit questionnaires for large facilities based on environmental regulations and facility permits.;An Engineering degree;An Engineering degree;;;;;Working knowledge and interest in environmental audit protocol$$$%%%&&&Fundamental background in pollution control engineering principles and sound engineering practice;Working knowledge and interest in environmental audit protocol$$$%%%&&&Fundamental background in pollution control engineering principles and sound engineering practice;;Minimum of 8 years' related environmental or industry experience$$$%%%&&&Basic knowledge of processes involved in upgraders, refineries, pipelines, ethanol manufacturing, transportation, and marketing is mandatory;Minimum of 8 years' related environmental or industry experience$$$%%%&&&Basic knowledge of processes involved in upgraders, refineries, pipelines, ethanol manufacturing, transportation, and marketing is mandatory;;"Ability to formulate technical reports; technical interpretive skills$$$%%%&&&Strong PC skills (Microsoft Office, Adobe, Microsoft Project)$$$%%%&&&Previous use and knowledge of the BCI Compliance Inc. (BCI) Integrated Compliance Management System (ICMSTM)$$$%%%&&&Previous hands-on experience working with audit software$$$%%%&&&Willingness to expand knowledge base through formal courses and experience$$$%%%&&&Uses initiative to independently recommend solutions based on logical assumptions and analysis of facts/data while considering constraints and impacts on the organization$$$%%%&&&Well-developed technical writing skills sufficient to convey both factual and conceptual information in a concise and succinct manner$$$%%%&&&Ability to research industry practices and regulatory requirements and apply them to various situations$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines";"Ability to formulate technical reports; technical interpretive skills$$$%%%&&&Strong PC skills (Microsoft Office, Adobe, Microsoft Project)$$$%%%&&&Willingness to expand knowledge base through formal courses and experience$$$%%%&&&Uses initiative to independently recommend solutions based on logical assumptions and analysis of facts/data while considering constraints and impacts on the organization$$$%%%&&&Well-developed technical writing skills sufficient to convey both factual and conceptual information in a concise and succinct manner$$$%%%&&&Ability to research industry practices and regulatory requirements and apply them to various situations$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines";Previous use and knowledge of the BCI Compliance Inc. (BCI) Integrated Compliance Management System (ICMSTM)$$$%%%&&&Previous hands-on experience working with audit software;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;27; 31-Jul-12;Corporate Responsibility - HS&E;Calgary, AB;Senior Administrative Assistant;Vice President, Corporate Responsibility;No;;This position will provide administrative support to the Corporate Responsibility business unit and assist with a variety of duties related to planning, developing, marketing, and coordinating activities within the team as well as special projects.;Liaising with all levels of management to proactively deal with changing priorities and inquiries$$$%%%&&&Developing graphs, spreadsheets or presentation materials to assist in effective reporting within the department$$$%%%&&&Performing specific business/marketing research and analysis, along with preparing correspondence and reports to assist with department objectives$$$%%%&&&Coordinating new hires, employee changes, office moves, etc. through iManager and iRequest$$$%%%&&&Independently handling all general office administration tasks such as organizing meetings, reconciliation of Selling, General & Administration (SG&A) expenditures and Authorization for Expenditure (AFE) accounts, coordinating travel arrangements, scheduling appointments and maintaining files$$$%%%&&&Liaising with departmental staff to request, gather and summarize information;Office Administration or Business Administration Diploma or equivalent training and business experience;Office Administration or Business Administration Diploma or equivalent training and business experience;;;;;Minimum of 5 years progressive administrative/secretarial experience, preferably in the petroleum industry;Minimum of 5 years progressive administrative/secretarial experience, preferably in the petroleum industry;;;;;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Ability to communicate with all levels of the company and external contacts$$$%%%&&&Excellent proof reading and business writing skills$$$%%%&&&Displaying tact and good judgment in resolving problems and answering inquiries$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities$$$%%%&&&A high degree of initiative and self-motivation$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) ;Strong organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Ability to communicate with all levels of the company and external contacts$$$%%%&&&Excellent proof reading and business writing skills$$$%%%&&&Displaying tact and good judgment in resolving problems and answering inquiries$$$%%%&&&Ability to work independently in a fast-paced, varied and diverse environment with changing priorities$$$%%%&&&A high degree of initiative and self-motivation$$$%%%&&&Proficiency in Microsoft Word, Excel, Powerpoint and SAP (including Manager's Desktop) ;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;9; 26-Jul-12;Corporate responsibility - Environmental Policy & Strategic Initiatives;Calgary, AB;Staff Environmental Engineer;Environmental Engineering Specialist;No;;In this role, you will be responsible for executing audits to regularly examine systems in place, physical conditions within an organization’s facilities, processes, tools and equipment to minimize liability associated with hazardous conditions and practices. You will also ensure sound engineering practice is followed, enforce corporate policy, and ensure regulatory compliance.;Conduct Environmental Management System (EMS) and Operation Integrity audits on all operations and business units.$$$%%%&&&Analyze trends and track environmental performance to form the basis of improvement strategies for future audits.$$$%%%&&&Prepare reports to executive management on environmental liability reduction.$$$%%%&&&Advise on federal, provincial and municipal environmental regulations, industry practice and permit compliance.$$$%%%&&&Drive improvement programs, complete with working groups, to tackle issues.$$$%%%&&&Undertake Special Interest Audits where efforts would be stepped, resource dependent and respond to business needs.$$$%%%&&&Analyze audit results, present recommendations and monitor progress.$$$%%%&&&Communicate and disseminate audit information at every level from management to operations.$$$%%%&&&Keep abreast of regulatory changes.$$$%%%&&&Work with a vendor to implement a database of audit questionnaires for large facilities based on environmental regulations and facility permits.;An Engineering degree;An Engineering degree;;;;;Working knowledge and interest in environmental audit protocol$$$%%%&&&Fundamental background in pollution control engineering principles and sound engineering practice;Working knowledge and interest in environmental audit protocol$$$%%%&&&Fundamental background in pollution control engineering principles and sound engineering practice;;Minimum of 8 years' related environmental or industry experience$$$%%%&&&Basic knowledge of processes involved in upgraders, refineries, pipelines, ethanol manufacturing, transportation, and marketing is mandatory;Minimum of 8 years' related environmental or industry experience$$$%%%&&&Basic knowledge of processes involved in upgraders, refineries, pipelines, ethanol manufacturing, transportation, and marketing is mandatory;;"Ability to formulate technical reports; technical interpretive skills$$$%%%&&&Strong PC skills (Microsoft Office, Adobe, Microsoft Project)$$$%%%&&&Previous use and knowledge of the BCI Compliance Inc. (BCI) Integrated Compliance Management System (ICMSTM)$$$%%%&&&Previous hands-on experience working with audit software$$$%%%&&&Willingness to expand knowledge base through formal courses and experience$$$%%%&&&Uses initiative to independently recommend solutions based on logical assumptions and analysis of facts/data while considering constraints and impacts on the organization$$$%%%&&&Well-developed technical writing skills sufficient to convey both factual and conceptual information in a concise and succinct manner$$$%%%&&&Ability to research industry practices and regulatory requirements and apply them to various situations$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines";"Ability to formulate technical reports; technical interpretive skills$$$%%%&&&Strong PC skills (Microsoft Office, Adobe, Microsoft Project)$$$%%%&&&Willingness to expand knowledge base through formal courses and experience$$$%%%&&&Uses initiative to independently recommend solutions based on logical assumptions and analysis of facts/data while considering constraints and impacts on the organization$$$%%%&&&Well-developed technical writing skills sufficient to convey both factual and conceptual information in a concise and succinct manner$$$%%%&&&Ability to research industry practices and regulatory requirements and apply them to various situations$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines";Previous use and knowledge of the BCI Compliance Inc. (BCI) Integrated Compliance Management System (ICMSTM)$$$%%%&&&Previous hands-on experience working with audit software;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;27; 31-Jul-12;Corporate Responsibility - HS&E;Calgary, AB;Vice President, Corporate Responsibility;Senior Vice President, Human & Corporate Rescources;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;6; 13-Aug-14;Corporate Responsibility;Calgary, AB;Abandonment Planning Lead;Abandonment Manager;No;none;Abandonment Planning Leads are responsible to strategically design and plan the well abandonment program within a geographic region within Western Canada.  This position will be responsible for prioritizing abandonment candidates using a risk-based approach and stewarding a program budget.      ;Responsible for strategically planning a risk-based abandonment program, including development of an annual budget and program.$$$%%%&&&Responsible to cost effectively steward the program and report on progress in alignment with Husky's Project Delivery Model.$$$%%%&&&Liaise with regulatory bodies and other stakeholders relating to abandonment program plans.  $$$%%%&&&Responsible to recognize synergies and develop efficiencies to derive benefit$$$%%%&&&Responsible to communicate across stakeholders to deliver program$$$%%%&&&Responsible for initiating work requests, documentation, and work breakdown structures.;Engineering degree (BSc, BEng or equivalent) in a related field ;Engineering degree (BSc, BEng or equivalent) in a related field ;;Professional Designation P.Eng. recognized by APEGA;Professional Designation P.Eng. recognized by APEGA;;Minimum 5 years of experience as a Project Manager$$$%%%&&&Demonstrated experience in scheduling, decision and risk analysis, and budget and cost control. $$$%%%&&&Experience in managing a program involving multiple projects $$$%%%&&&Experience in abandonment of inactive assets (i.e. wells, pipelines, facilities)$$$%%%&&&Experience with risk assessment;Minimum 5 years of experience as a Project Manager$$$%%%&&&Demonstrated experience in scheduling, decision and risk analysis, and budget and cost control. $$$%%%&&&Experience in managing a program involving multiple projects $$$%%%&&&Experience in abandonment of inactive assets (i.e. wells, pipelines, facilities);Experience with risk assessment;Minimum 10 years of experience in upstream oil and gas;Minimum 10 years of experience in upstream oil and gas;;Knowledgeable in regulations pertaining to abandonment across Western Canada$$$%%%&&&Proficient in well data analysis and interpretation$$$%%%&&&Experience with mapping tools and well data management systems (i.e. WellView)$$$%%%&&&Excellent communication and organizational skills$$$%%%&&&Proficient with project management tools$$$%%%&&&Proficient in interpreting well information using public data sources (i.e. AbaData, AccuMap, IHS)$$$%%%&&&Strong technical writing and presentation skills$$$%%%&&&Ability to work independently with minimal supervision $$$%%%&&&Ability to plan and organize in a high volume work environment;Knowledgeable in regulations pertaining to abandonment across Western Canada$$$%%%&&&Proficient in well data analysis and interpretation$$$%%%&&&Excellent communication and organizational skills$$$%%%&&&Proficient with project management tools$$$%%%&&&Proficient in interpreting well information using public data sources (i.e. AbaData, AccuMap, IHS)$$$%%%&&&Strong technical writing and presentation skills$$$%%%&&&Ability to work independently with minimal supervision $$$%%%&&&Ability to plan and organize in a high volume work environment;Experience with mapping tools and well data management systems (i.e. WellView);Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;Occasionally;Frequently;;;;Frequently;;Occasionally;;;Frequently;;;;;;;;;;;;;;Occasionally;;;;;;;Constantly;;;;
9;9;45; 6-Nov-13;Corporate Responsibility;Calgary, AB;Asset Retirement Administrator;Business Process Manager;No;none;Provide support to the Asset Retirement Regional Teams, Business Process Team and Planning Teams.        ;Database entry and pulling reports from  Siteview and Omnisafe$$$%%%&&&HDMS document management including saving documents, extracting documents$$$%%%&&&Generating portions of initiation packages such as maps$$$%%%&&&Provide support to field and office personnel as required (organizing meetings, vehicle administration, managing expense reports,  etc.)$$$%%%&&&;;;;;;;1-5 years of administrative experience;1-5 years of administrative experience;;Experience in upstream oil and gas (land locations etc.)1-5 years;;Experience in upstream oil and gas (land locations etc.)1-5 years;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;Occasionally;Frequently;;;;Frequently;;Occasionally;;;Frequently;;;;;;;;;;;;;;;;;;;;;Constantly;;;;
